Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
1 Jan 2026,-3039.5,-126.9,-3316.4,-6482.8,-983.6,-3236.8
2 Jan 2026,646.8,274.4,870.5,1791.7,-2713.6,-1199.8
5 Jan 2026,737.4,-349.2,-4212.3,-3824.1,-4176.1,NA
6 Jan 2026,-16.4,-133.8,3256.9,3106.7,-5602.4,-3580.2
7 Jan 2026,-1839,683,-4237.6,-5393.6,-5338.8,-3631.3
8 Jan 2026,-3709.8,653.8,-19049.4,-22105.4,-1005.7,-1183.1
9 Jan 2026,-3687,-128.2,12357.9,8542.7,1866,-2029.9
12 Jan 2026,-3108.4,48.7,305.8,-2753.9,726.9,-3772.1
13 Jan 2026,-429.8,-5196.2,-10960,-16586,-5202.4,919.1
14 Jan 2026,-3515.3,-820.1,-3992.9,-8328.3,1273.2,627.8
15 Jan 2026,NA,NA,NA,NA,-502.4,-502.4
16 Jan 2026,-4542.9,-739,19000.4,13718.5,-4598.3,-502.4
19 Jan 2026,-2062.1,1935.1,-11119.7,-11246.7,-2629.2,-1303.8
20 Jan 2026,-1210.4,-517.7,-14854.4,-16582.5,-5467.2,2053.8
21 Jan 2026,-988.7,-475.2,-9128.7,-10592.6,-246.4,1547.5
22 Jan 2026,-2264.2,-1030.9,-1572.9,-4868,-1696.6,324.5
23 Jan 2026,-3213.1,47.3,19939.3,16773.5,-5030.8,1279.5
27 Jan 2026,-4468.5,-1141.6,-824.2,-6434.3,-6731.1,695.5
28 Jan 2026,5390.3,-266.1,-2470.3,2653.9,-3427.2,1675
29 Jan 2026,-72.3,22.8,-12019.4,-12068.9,4471.6,7942.8
30 Jan 2026,NA,NA,5687,5687,-2560.7,2753.3
1 Feb 2026,1905.8,-0.3,-13002.4,-11096.9,-80.6,NA
2 Feb 2026,-1117.4,77.8,5745.1,4705.5,-4955.5,-4400
3 Feb 2026,7561.4,-482.1,-8378.2,-1298.9,-414.7,4114.3
4 Feb 2026,1091.9,150.1,-2257.2,-1015.2,-8975.3,-2627
5 Feb 2026,-1312.8,-23.8,6881.4,5544.8,-17859,-2832.3
6 Feb 2026,3511.6,428.9,7634.8,11575.3,-13096.2,-2002.6
9 Feb 2026,3697.6,336,5012.9,9046.5,-4762.4,881
10 Feb 2026,320.3,182.6,-21053.8,-20550.9,0,1737.2
11 Feb 2026,3112.8,-192.8,-9293.5,-6373.5,3781.2,2032.8
12 Feb 2026,903.5,741.4,-2850.6,-1205.7,-4170.5,-1323.6
13 Feb 2026,-6092.6,793.3,23529.9,18230.6,-1599.4,-2398.4
16 Feb 2026,-214.4,731.1,-7938.5,-7421.8,-7674.9,-322.5
17 Feb 2026,1620.1,356.6,-23105.4,-21128.7,-620.6,1067.8
18 Feb 2026,NA,NA,-3783.9,-3783.9,-5567.2,1003.8
19 Feb 2026,1923.8,505.9,2136.8,4566.5,2000.3,3212.9
20 Feb 2026,-244.9,850,13858.4,14463.5,-3339.9,1604.5
23 Feb 2026,4397.2,-310.9,5587,9673.3,-2255.4,3765.9
24 Feb 2026,2887.6,951.4,-30686,-26847,-13442.6,-1094.9
25 Feb 2026,1092.6,353,-2162.5,-716.9,-4092.7,-3581.3
26 Feb 2026,-2429.2,-68.6,-2024,-4521.8,-7239.7,-1702.9
27 Feb 2026,-5467.5,-553.6,8237.9,2216.8,2309.6,-4154.5
2 Mar 2026,-2988.6,1113.7,-26123.5,-27998.4,853.4,-2150.7
4 Mar 2026,-9113.4,388.9,-11238.5,-19963,-5194.1,-10854.8
5 Mar 2026,-3430.2,-93.8,-5275.1,-8799.1,-5050.1,-1216.3
6 Mar 2026,-6349.1,-298.5,2797,-3850.6,-7133.5,-3781.4
9 Mar 2026,-6568,-410.2,-7996.4,-14974.6,-2277.6,-4833.4
10 Mar 2026,-5499.8,-1249.1,-29171.6,-35920.5,-8151.1,-3781.9
11 Mar 2026,-5911.9,-290.2,-8266,-14468.1,-5970.7,-26
12 Mar 2026,-7375,503.9,-14672.6,-21543.7,-12528.6,-2553.4
13 Mar 2026,-10827.4,64.1,-7406.5,-18169.8,-1291,349.2
16 Mar 2026,-9406.8,1066.9,-889.1,-9229,892.5,-390.6
17 Mar 2026,-4276,233.3,-5285.6,-9328.3,625.6,-790.8
18 Mar 2026,NA,NA,-3821.3,-3821.3,-6360.4,2002.2
19 Mar 2026,-10965.7,-288.2,-8150.7,-19404.6,8956,5375.1
20 Mar 2026,-5549.9,1026.4,-876.6,-5400.1,-2122.8,-1977
23 Mar 2026,-11299.4,4373.1,-2918.8,-9845.1,2163.8,NA
24 Mar 2026,-7215.4,-354.1,-31676.8,-39246.3,-936.9,1484.7
25 Mar 2026,-1565.6,143.6,5664.8,4242.8,6879.2,6511
27 Mar 2026,-3964.7,928.2,-9277.1,-12313.6,-4535.3,4537.4
30 Mar 2026,NA,NA,-11960.3,-11960.3,-2278.5,-248.7
1 Apr 2026,-19837.2,486.6,-1430.1,-20780.7,2338.2,-3774.7
2 Apr 2026,-9469.6,-852.6,-2854.1,-13176.3,7112.8,-2517.8
6 Apr 2026,-8636.8,-1187.4,2928.5,-6895.7,5920.1,-3854.7
7 Apr 2026,-6809.7,-1016.3,2011,-5815,3145.9,-1095.8
8 Apr 2026,-1395.6,-749.7,4451.3,2306,8452.6,2906
9 Apr 2026,-2064.2,-948.8,1653,-1360,12622.9,NA
10 Apr 2026,1509.4,-863.4,9972.9,10618.9,2890.1,NA
13 Apr 2026,-1435.4,-809.5,-38857.3,-41102.2,3792.4,-432.5
15 Apr 2026,3099,-305.2,-4211.6,-1417.8,1750.5,372.9
16 Apr 2026,1621.4,-636.9,-2858.9,-1874.4,-1727.9,372.4
17 Apr 2026,2068.8,-512.1,5298.6,6855.3,-3653.2,-691.6
20 Apr 2026,507.4,-161.6,-11374.1,-11028.3,1453.8,200.5
21 Apr 2026,595.2,-68.3,-18815.9,-18289,-744.1,1147.3
22 Apr 2026,-1249.9,-263.4,-11343.6,-12856.9,-5624,-2416.9
23 Apr 2026,-2469.7,-83.1,-4896.5,-7449.3,-8675.3,-1840.8
24 Apr 2026,-8721.6,140.2,-1564.9,-10146.3,-7713.1,-4947.7
27 Apr 2026,-4188.3,-11.5,-6080,-10279.8,709.3,1437.1
28 Apr 2026,-1991.9,-103.4,-19816.1,-21911.4,2305.9,5089.2
29 Apr 2026,-1978.6,275.3,-3914.2,-5617.5,-4467.2,-1410.5
30 Apr 2026,-8024.1,74.4,-197.8,-8147.5,-3574.5,-4553.6
4 May 2026,2972.5,61.7,3215.3,6249.5,-1709.9,-5469.4
5 May 2026,-3419.5,-485.7,-29094.5,-32999.7,-11013.9,-5219
6 May 2026,-5740.3,-465,32.9,-6172.4,-5514.5,-4589.6
7 May 2026,-19.8,75.1,-10198.9,-10143.6,344.7,-541.1
8 May 2026,-1381,401.9,-4227.9,-5207,-2224,-2035.9
11 May 2026,-7822.3,-71.6,-6400.4,-14294.3,-5106.4,-3698.6
12 May 2026,-806.7,228.4,-8803.8,-9382.1,1300.1,-4178.9
13 May 2026,-3918.6,291.8,-3377.9,-7004.7,1043.4,-2224.3
14 May 2026,1111.5,-168.2,-6110.6,-5167.3,-2168.8,674.2
15 May 2026,2219.4,-180.8,-1970.4,68.2,-2651.8,3179.2
18 May 2026,2168.8,-198.8,7971.4,9941.4,-788,-788
19 May 2026,-3644.4,447.8,-30042.3,-33238.9,NA,NA
20 May 2026,NA,NA,-12349.4,-12349.4,NA,NA
