Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
3 Jan 2022,2316.6,-220.3,-660.6,1435.7,712,-740.5
4 Jan 2022,1356.6,-126,-2662.2,-1431.6,-178.6,-622.9
5 Jan 2022,591.6,192.1,-411.4,372.3,1711.5,-640.9
6 Jan 2022,-1697,307.7,9885,8495.7,-481.8,-511.9
7 Jan 2022,492.9,8.7,-4293.5,-3791.9,334.4,-59.7
10 Jan 2022,-145.4,-499.7,2420.3,1775.2,-106.6,-412.4
11 Jan 2022,403.3,270.1,-3558.2,-2884.8,1454.5,417
12 Jan 2022,-725.5,323.3,1815.5,1413.3,959.7,-276.2
13 Jan 2022,-1370.9,628.5,5475,4732.6,988.5,331.3
14 Jan 2022,-2574.6,1432.8,3602.6,2460.8,-667.8,-990.5
17 Jan 2022,-243.6,427.4,184.9,368.7,786.2,-100
18 Jan 2022,-596.7,374,-6765.5,-6988.2,915.1,1133.4
19 Jan 2022,-2638.5,163.3,11047.3,8572.1,-743.8,-1144.7
20 Jan 2022,-4594.5,43,2379.6,-2171.9,-3236.5,-1605
21 Jan 2022,-3075,-52.4,-1517.9,-4645.3,2106.2,1238
24 Jan 2022,-3899.2,1033.5,4275.7,1410,1666.7,230.1
25 Jan 2022,-6956.4,-63.3,-5017.6,-12037.3,4092.6,-285.9
27 Jan 2022,-5521,1.4,4737,-782.6,-2862.9,0
28 Jan 2022,-5060.5,920.8,-4573.5,-8713.2,2546.2,-743.9
31 Jan 2022,-2037.2,-318.1,-1284.3,-3639.6,1199.6,-1814.6
1 Feb 2022,-95.7,-671.7,4897.8,4130.4,-2088.8,-1047.8
2 Feb 2022,602.8,-79.2,2088.6,2612.2,-1767.6,-247.9
3 Feb 2022,-2096.5,58.6,7846.7,5808.8,446.5,629.2
4 Feb 2022,-5152.8,-565.5,1690.8,-4027.5,-799.8,112.2
7 Feb 2022,972.2,150.6,120.1,1242.9,-715.5,602.1
8 Feb 2022,69.7,-438.1,3690.6,3322.2,823.8,-536.2
9 Feb 2022,-650.2,-710.2,5205.7,3845.3,1530.3,-719.9
10 Feb 2022,-1692.6,-35.2,7805.2,6077.4,3197.1,-163.8
11 Feb 2022,351.5,-55.2,-431.9,-135.6,1978.5,1563.8
14 Feb 2022,-3144.3,316.8,20.3,-2807.2,2660.8,-13.4
15 Feb 2022,-1391.1,-261.8,12445.8,10792.9,1462.5,-1792.1
16 Feb 2022,-367.5,-453.2,16.9,-803.8,829.7,-307.1
17 Feb 2022,-710,303.4,8657.4,8250.8,2605.3,-32
18 Feb 2022,-3058,137.7,-3829.3,-6749.6,1513.1,-520.5
21 Feb 2022,-774.3,-575.7,2140.5,790.5,2241,273.9
22 Feb 2022,-2458.2,-431.3,3880.7,991.2,2858.4,-471.8
23 Feb 2022,-2838.3,49,4081.9,1292.6,1573.6,-919.5
24 Feb 2022,-6687.4,-31.1,10045.9,3327.4,6166.7,3015.8
25 Feb 2022,-4434,537.3,3658.6,-238.1,3339.3,-2733.9
28 Feb 2022,NA,NA,6212.8,6212.8,250,-2438.5
2 Mar 2022,-4055.9,-1469.3,-5197.2,-10722.4,-1747.8,662
3 Mar 2022,-6530.6,-258.8,9593.1,2803.7,2434.8,-1180.9
4 Mar 2022,-7498.6,-1128.5,-2097.6,-10724.7,2864.4,-867.3
7 Mar 2022,-7921.2,-16.1,192.4,-7744.9,4272,633.6
8 Mar 2022,-7296.4,-381.8,3521.4,-4156.8,6609.7,991.6
9 Mar 2022,-4476.2,-435,1706.9,-3204.3,-18.3,630.5
10 Mar 2022,744.7,187.5,2983.9,3916.1,878.6,1521.7
11 Mar 2022,-1319.3,-399.2,1255.9,-462.6,1620.8,-295.3
14 Mar 2022,971.9,165.1,1989.8,3126.8,913,370
15 Mar 2022,-1104.8,-194.2,-3245.1,-4544.1,1328,1480.1
16 Mar 2022,541.4,-439.2,7278.8,7381,-775.2,-862
17 Mar 2022,3119.8,-753,11259.9,13626.7,7.3,-69.9
21 Mar 2022,-2862.7,307,3344.5,788.8,831,-882.2
22 Mar 2022,724.8,476,939.7,2140.5,-3725.2,-1970.3
23 Mar 2022,895.1,16.5,-2885.7,-1974.1,-1898.9,447.8
24 Mar 2022,-1347.3,-114.5,3551.8,2090,2496.7,0
25 Mar 2022,-1389.6,738.1,-1242.6,-1894.1,730.4,0
28 Mar 2022,-390.5,-624.1,3429,2414.4,1385,0
29 Mar 2022,-176.8,-684.1,3264.7,2403.8,721.9,0
30 Mar 2022,2383.4,78.1,4033.8,6495.3,-573.7,0
31 Mar 2022,NA,NA,-2304.8,-2304.8,-2343,0
1 Apr 2022,8677.4,-181.2,-3575.3,4920.9,-2188.7,-2174.5
4 Apr 2022,1450.7,346.5,4390.9,6188.1,3153.7,-1201.4
5 Apr 2022,3486.7,211.6,1941,5639.3,1179.1,839.8
6 Apr 2022,-1412.9,1256.5,-4148.8,-4305.2,1691.7,-1080.9
7 Apr 2022,-4494.8,-230.5,1961,-2764.3,-245.8,-516.8
8 Apr 2022,-395.4,-46,1707.4,1266,-2544.1,-2087.9
11 Apr 2022,-1463.5,-315,-6499.5,-8278,-800.1,-299.5
12 Apr 2022,-2659.6,-54.4,-2182.6,-4896.6,-507.8,-304.1
13 Apr 2022,-960.5,-528.5,4944.7,3455.7,1115.2,-1053.5
18 Apr 2022,-6483,323,1522.7,-4637.3,2019.1,-776.3
19 Apr 2022,-5089.9,-512.9,3188.2,-2414.6,3422.7,NA
20 Apr 2022,-2339.6,-947.9,2793.6,-493.9,2392.7,-440.1
21 Apr 2022,-602.1,-603,7434.9,6229.8,4787.9,-388.8
22 Apr 2022,-1416.8,-661.1,-196.2,-2274.1,1728,610.4
25 Apr 2022,-2644,-701.7,-5630.8,-8976.5,3037.4,428.9
26 Apr 2022,104.4,-438.3,11881,11547.1,111.9,-1483.7
27 Apr 2022,-2790.8,-167.2,5437.5,2479.5,33.6,-1560.9
28 Apr 2022,1889.9,-1188.6,-9646.5,-8945.2,-4149.6,-535.6
29 Apr 2022,-3324.5,277.8,11049.9,8003.2,2250.1,-684.5
2 May 2022,1334.6,-1425.6,-7247.9,-7338.9,-376.9,-1609.4
4 May 2022,-2867.2,-57.1,-2848.5,-5772.8,-1260.3,-107.5
5 May 2022,-1560.2,119.5,259.9,-1180.8,-2994.9,-1956.9
6 May 2022,-4618,-1655.8,2231.5,-4042.3,759.5,-471.6
9 May 2022,-2891.3,273.4,2759.4,141.5,-1497,-471.6
10 May 2022,-3476.1,-1556.8,2114,-2918.9,1076.9,-258.3
11 May 2022,-3003.6,23.2,3056.2,75.8,967.9,-455.1
12 May 2022,-4809.9,-340.4,7550.9,2400.6,4178.8,1736.7
13 May 2022,NA,NA,1889.3,1889.3,2801.3,357.2
16 May 2022,-3515,-2110.4,1630,-3995.4,1124.9,-43.3
17 May 2022,-1662.4,87.9,4186.6,2612.1,1304,-92.1
18 May 2022,-900.7,63,1736.9,899.2,752.7,477.2
19 May 2022,-3842.8,167.8,16004.8,12329.8,2524.7,747.4
20 May 2022,1455.8,86.2,11080.9,12622.9,-1359.5,-1879.2
23 May 2022,-1284.7,-185.3,2643.3,1173.3,845.8,-216.1
24 May 2022,-1990.1,-22.6,571.3,-1441.4,50,239.3
25 May 2022,-1617.1,262.2,-432.2,-1787.1,-269.2,429.3
26 May 2022,-564.3,399.4,6636.4,6471.5,-3851.2,-181.2
27 May 2022,-3136.8,-287,6804.8,3381,2619.2,-677.9
30 May 2022,2281.2,374.9,3611.9,6268,732.8,-1471.3
31 May 2022,-994.7,405.3,3001,2411.6,683,-1979
1 Jun 2022,-722.4,-126.3,-2919.3,-3768,-1512.7,-1211.9
2 Jun 2022,-571.4,578,-2298.1,-2291.5,-633,-957.7
3 Jun 2022,-3694.9,57.8,7369.4,3732.3,-374.2,-2334.7
6 Jun 2022,-1854.2,-1544.9,-1092.6,-4491.7,-945.9,-3206.6
7 Jun 2022,-2241.9,-70.7,-4675.5,-6988.1,-1642.7,-631.7
8 Jun 2022,-2407.7,106.5,-5789.7,-8090.9,-771.1,-1266.4
9 Jun 2022,-1401,-4.7,2557.1,1151.4,-941.2,-956.5
10 Jun 2022,-3181.5,-1680.4,892.9,-3969,280.4,534.6
13 Jun 2022,-3566.1,-330.1,-4448.4,-8344.6,3198.9,1415.1
14 Jun 2022,-4312.9,-98.9,940.8,-3471,3091.9,512.9
15 Jun 2022,-3358.2,109.8,1952,-1296.4,2282.8,582.7
16 Jun 2022,-3122.7,95.4,7241.2,4213.9,1484.7,1960.6
17 Jun 2022,-8952.7,1340.7,3102,-4510,1943.5,-781.6
20 Jun 2022,341.8,-428.9,-4550.5,-4637.6,-180.4,586.8
21 Jun 2022,-1177.2,250.1,5964,5036.9,2336.4,586.8
22 Jun 2022,-2612.9,2448.1,5113,4948.2,1974.3,589.2
23 Jun 2022,-2010.4,-180.8,18260.1,16068.9,-0.6,-1044.4
24 Jun 2022,-2108.6,-278.5,1013.3,-1373.8,1127.1,-785.1
27 Jun 2022,-1091.8,-942.4,1750.6,-283.6,588.5,223.4
28 Jun 2022,-852.7,-1059,2625.7,714,898,849
29 Jun 2022,-308.8,-60,-820.5,-1189.3,-1911.3,-474.2
30 Jun 2022,-260.8,-186,9158,8711.2,-1198.8,1535
1 Jul 2022,-2857.4,-106.2,-73.5,-3037.1,770.5,-1416
4 Jul 2022,-1433.7,-318.3,403.6,-1348.4,2517.2,-710.8
5 Jul 2022,2133,237.1,-273,2097.1,1871.8,1035.1
6 Jul 2022,-795.5,924.7,2128.9,2258.1,1305.8,-555.5
7 Jul 2022,-881.8,-22.1,6916,6012.1,1966,-436.3
8 Jul 2022,119.1,-10.1,767.2,876.2,-1417.2,-674.3
11 Jul 2022,359.2,-36.4,1703,2025.8,-678.9,-885.4
12 Jul 2022,-1457.3,79,-5323.1,-6701.4,-774.5,455.9
13 Jul 2022,-2720.6,-551.2,-3377.7,-6649.5,3392.8,357.7
14 Jul 2022,363.2,-889.8,5886.3,5359.7,1255.8,1573.5
15 Jul 2022,-1634.5,-12.1,3468.6,1822,1000.5,-142
18 Jul 2022,220,560.7,2937.7,3718.4,-405.6,-368.8
19 Jul 2022,1059.5,-412.1,-895.4,-248,243,1032.8
20 Jul 2022,7011.8,1038,-1750.4,6299.4,1237.4,2191.3
21 Jul 2022,1875,496.6,10308.3,12679.9,-265.5,584.4
22 Jul 2022,-615.1,-830.4,3408.3,1962.8,1362.4,-175.4
25 Jul 2022,-574.8,-920.6,-304.4,-1799.8,2736.7,2003
26 Jul 2022,-1277.7,180.7,-436,-1533,296.4,174.2
27 Jul 2022,-94,-538.5,5445.4,4812.9,-699.1,-547.1
28 Jul 2022,6451.1,-739.4,5977.5,11689.2,-1196.1,-355.5
29 Jul 2022,1470.2,-447.5,2832,3854.7,-1008.3,1198.5
1 Aug 2022,5346.9,388.8,1952.1,7687.8,1766.6,-145.1
2 Aug 2022,1662.5,-138.7,2515.3,4039.1,1797,-1423.2
3 Aug 2022,3967.6,39.4,-5205.3,-1198.3,-888,-2023.6
4 Aug 2022,1728.1,387.8,1165,3280.9,2526.3,2213.8
5 Aug 2022,1999.9,757.9,-616.3,2141.5,1167.5,1072.8
8 Aug 2022,1573.5,-109.5,5745.9,7209.9,-2480.8,-859.7
10 Aug 2022,2455,711.6,-446.7,2719.9,1580.7,1112.4
11 Aug 2022,2248.8,157.8,2853.7,5260.3,591.3,1921.6
12 Aug 2022,NA,NA,4364.2,4364.2,865.6,1371
16 Aug 2022,14263.4,-176.4,1052.8,15139.8,354.8,230.1
17 Aug 2022,4308.1,13.5,4382.1,8703.7,2037.3,630.2
18 Aug 2022,3457.2,89,8243.3,11789.5,-1799.1,-158.1
19 Aug 2022,1532,5.3,-4917.1,-3379.8,426.8,829.9
22 Aug 2022,-346.3,78.4,3319.4,3051.5,1378.1,723.4
23 Aug 2022,1057.6,3209.2,6509.8,10776.6,-3695.1,-2728.8
24 Aug 2022,168,-313,-553.3,-698.3,-10,-733.2
25 Aug 2022,2361.2,-283.8,9363.2,11440.6,-2483,891
26 Aug 2022,-113.6,159,5139.5,5184.9,1934.5,-1108
29 Aug 2022,2064.2,-684.2,-5503.3,-4123.3,987.2,-706.6
30 Aug 2022,4259.7,-9,11463.6,15714.3,-1735.1,-1427.1
1 Sep 2022,-2297,127.8,2427.4,258.2,1138.4,90.2
2 Sep 2022,-1284.9,-594.9,-1818.4,-3698.2,993.7,789.3
5 Sep 2022,263.6,122.7,3862.3,4248.6,-846.6,-2197.7
6 Sep 2022,1704.8,496.8,1642.2,3843.8,889.9,-1407.4
7 Sep 2022,111,192.3,-986.6,-683.3,-418.2,-570.8
8 Sep 2022,2836.2,-177.5,-5052.8,-2394.1,861,-67.4
9 Sep 2022,2274.8,48.5,8296.9,10620.2,-1227.7,178.9
12 Sep 2022,1696.4,-288,2285.3,3693.7,1142,195.1
13 Sep 2022,4573.7,742.7,-741.6,4574.8,-429.4,354.6
14 Sep 2022,-1374.7,241.9,-2968.6,-4101.4,-231,402.4
15 Sep 2022,-679.5,874.1,-514.5,-319.9,-560,1262.6
16 Sep 2022,-3476.7,5894.8,4345.1,6763.2,1960.6,1741.2
19 Sep 2022,732.2,-0.6,-3019.1,-2287.5,-2210.4,148.7
20 Sep 2022,1804,-247.8,4600.8,6157,-2577.9,-549.6
21 Sep 2022,-278.5,-1058.4,223,-1113.9,-3328.2,-37.4
22 Sep 2022,-2227.4,-462.1,1149.2,-1540.3,-3364.2,-2340.2
23 Sep 2022,-2600,-238.3,1955.5,-882.8,700.6,1595.5
26 Sep 2022,-4652,435.2,11697.5,7480.7,-3216.4,-3443.7
27 Sep 2022,-3039.9,-914.8,5982.6,2027.9,-597.8,-1155.3
28 Sep 2022,-2096.1,-375.5,8759,6287.4,2138.7,1001.8
29 Sep 2022,-3873.5,-797.8,6362.5,1691.2,1075.6,-447.9
30 Sep 2022,-1522.5,-2530.5,1267.1,-2785.9,-264.4,-2131.7
3 Oct 2022,1277.6,-4.2,-1034.3,239.1,865.7,1442.6
4 Oct 2022,1936.1,-385.3,11564.5,13115.3,-642.3,-2326.8
