Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
2 Jan 2023,1661.5,-5.5,-1596,60,-124.3,NA
3 Jan 2023,-256.3,-833,9203.6,8114.3,2169.9,NA
4 Jan 2023,-2461.1,-433.4,-3938,-6832.5,840.5,NA
5 Jan 2023,-1256.4,-76.8,13043.9,11710.7,355,NA
6 Jan 2023,-2676.1,-130.7,13004.2,10197.4,-1148.8,-1213.5
9 Jan 2023,57.4,503.9,4557.5,5118.8,125.1,-2080.3
10 Jan 2023,-1825.4,134.6,164.8,-1526,434.2,-576.6
11 Jan 2023,-3404.9,-57.9,-1617.3,-5080.1,27.9,-995.9
12 Jan 2023,-1346.8,-167.3,9842.2,8328.1,1756.4,-392.1
13 Jan 2023,-3739.5,1195.3,2962.3,418.1,-867.2,-870.3
16 Jan 2023,1570.7,409.1,-4536.8,-2557,515,244.3
17 Jan 2023,1358.7,141.9,3014.8,4515.4,-492.9,-556.9
18 Jan 2023,54.6,126,-4513.6,-4333,287.4,-556.9
19 Jan 2023,587.9,370.6,14352.8,15311.3,111.5,638.3
20 Jan 2023,-1640.8,345.3,15960.6,14665.1,72.5,-438.2
23 Jan 2023,224.2,31,9419.7,9674.9,-181,-639.3
24 Jan 2023,-114.3,1094.2,12408,13387.9,-1011.7,-14.2
25 Jan 2023,-256.5,929.1,19132.7,19805.3,-2655.6,335
27 Jan 2023,-6136.3,-580.1,2344.3,-4372.1,2022.1,-424.5
30 Jan 2023,-5692.8,425.5,5535,267.7,1053.5,-676.4
31 Jan 2023,-4657.9,1667.8,-5256.3,-8246.4,1557.7,310.9
1 Feb 2023,2542.6,2865.9,-13404.4,-7995.9,1218.2,1685.8
2 Feb 2023,-3637.7,968,15423.9,12754.2,-2783.7,-402.6
3 Feb 2023,-249.9,382.2,-12515,-12382.7,2901.9,-44.5
6 Feb 2023,-1038.5,-398.6,-695.4,-2132.5,678.6,-178.8
7 Feb 2023,-2206.8,-824,10307.7,7276.9,-384.7,-711.9
8 Feb 2023,-456.4,-1247.2,-4307.8,-6011.4,-1731.5,-648.4
9 Feb 2023,32.7,-1260.1,6821.1,5593.7,-1821.2,-98.2
10 Feb 2023,1725.8,265.1,-4180.6,-2189.7,10.6,827.7
13 Feb 2023,1497,752.7,9632.2,11881.9,-1207.6,-437.2
14 Feb 2023,1642.6,-528.6,-7690.2,-6576.2,-716.8,-481.9
15 Feb 2023,771,-305.7,3769.2,4234.5,-3,18.3
16 Feb 2023,2029.5,75.3,20533.4,22638.2,922.8,-106
17 Feb 2023,-744.5,462.2,-1293.6,-1575.9,-1665.2,389.8
20 Feb 2023,470.1,-156.2,4975.9,5289.8,-1498.7,-851.8
21 Feb 2023,1028.8,-719.4,-2646.9,-2337.5,20.3,54.1
22 Feb 2023,-61.9,711.3,5243.8,5893.2,202.4,679
23 Feb 2023,-999.1,107.8,26358.1,25466.8,957.9,627.6
24 Feb 2023,-1353.1,-322.5,-3187.9,-4863.5,993.8,-253.7
27 Feb 2023,-1628.5,-59.8,7073,5384.7,-108.2,-1225.1
28 Feb 2023,-4642.6,-18.9,4001.5,-660,1414.2,-1398.2
1 Mar 2023,840.9,126.6,3721.7,4689.2,-445.8,-40.6
2 Mar 2023,12741,272.1,15014.7,28027.8,899.4,-137.8
3 Mar 2023,236.8,-1006.7,743,-26.9,1532.2,518.8
6 Mar 2023,866,58.7,642.5,1567.2,-1715,-2025.3
8 Mar 2023,3951,-1248.7,4180.1,6882.4,-526.1,118.9
9 Mar 2023,-453.4,-1170.2,3826.2,2202.6,1609.7,580.2
10 Mar 2023,-1764.4,-734.5,-354.8,-2853.7,1958.5,444.9
13 Mar 2023,3008.6,316.2,5715.4,9040.2,3311.5,187.9
14 Mar 2023,-2208.8,779,11450,10020.2,1022.4,668.3
15 Mar 2023,-1246.7,121.2,-11755.2,-12880.7,614.6,400.5
16 Mar 2023,166.7,-44.7,17343.5,17465.5,2563.6,-444
17 Mar 2023,-1698.7,710.9,-5562.6,-6550.4,2774,-582.5
20 Mar 2023,-1905.6,219.5,-12444.9,-14131,4686.5,871.3
21 Mar 2023,NA,NA,-596.2,-596.2,1740.6,-141.6
22 Mar 2023,-1044.3,1895.3,-12528.4,-11677.4,126.1,451.3
23 Mar 2023,386.5,-588.4,9607,9405.1,2584.4,963
24 Mar 2023,-1456.7,885.6,3707.8,3136.7,3201.9,1139
27 Mar 2023,-622.8,235.3,19120.4,18732.9,-474.7,489.1
28 Mar 2023,1946.8,590.7,-9844.1,-7306.6,-2720.5,2095.8
29 Mar 2023,835.2,-3903.7,23437.8,20369.3,78.7,-66.1
31 Mar 2023,2366.2,47,-14478.7,-12065.5,4571.6,-59.2
3 Apr 2023,558.1,-576.7,-3226.8,-3245.4,1442.5,-944.8
5 Apr 2023,822.5,-1137.8,12620.8,12305.5,2052.3,-773.5
6 Apr 2023,454.3,308.9,-4077,-3313.8,2302.5,101.1
10 Apr 2023,1383.5,765.5,4844.1,6993.1,-210.5,-1029.8
11 Apr 2023,1030.5,-441.8,-12457.3,-11868.6,757.7,-916.6
12 Apr 2023,2151.9,10.1,2421.6,4583.6,166.2,-1196.2
13 Apr 2023,804.4,763.1,16240.2,17807.7,-3317.3,-2055.7
17 Apr 2023,422,-1001.3,1194.6,615.3,863.3,-974.1
18 Apr 2023,-552,515.9,4860.7,4824.6,246,-857
19 Apr 2023,169.5,-14.1,-2012.3,-1856.9,57.3,-428.9
20 Apr 2023,-967.6,1539.1,-6584.6,-6013.1,2037.7,16.9
21 Apr 2023,-1693.8,152.8,-3275,-4816,341.8,-418.5
24 Apr 2023,-336,-999.8,-9197.5,-10533.3,-2572.1,-879.4
25 Apr 2023,-362,-598.7,-12354.6,-13315.3,-1630.1,-1263.8
26 Apr 2023,1443.5,932.7,3204.9,5581.1,963,220.1
27 Apr 2023,3935.8,540.7,17145.8,21622.3,-8506.9,1081.9
28 Apr 2023,6468.8,-283.5,-545.3,5640,-1760.1,-1216.4
2 May 2023,2991.7,-1035.3,-12613.6,-10657.2,-4057.1,-1384.5
3 May 2023,1389.4,-1141.5,6120.6,6368.5,-2359.4,-707.1
4 May 2023,NA,NA,462.1,462.1,-2765.7,-1065
5 May 2023,3852.6,771.6,16997,21621.2,-2252.3,-979.9
8 May 2023,3162.5,875.5,-17117.7,-13079.7,-2299,-1919.9
9 May 2023,2000.8,-942.8,-11274.4,-10216.4,162.6,-248.3
10 May 2023,2295.6,812.6,3259.1,6367.3,934.8,2158.9
11 May 2023,990.4,1012.1,-4141.3,-2138.8,417.3,564.4
12 May 2023,1587.3,-1152,-482.9,-47.6,-1811.3,-165.9
15 May 2023,1880,-355.2,3264.9,4789.7,-2329.5,-931.4
16 May 2023,1715.9,1162.3,-17463.7,-14585.5,546.3,104.3
17 May 2023,805.8,1503.6,-2693.3,-383.9,5014.3,3209.5
18 May 2023,1804.6,-170.3,11427.9,13062.2,-261.7,-283
19 May 2023,752.7,-305.5,-3807.4,-3360.2,413.9,-1304.5
22 May 2023,1289.6,266.8,424.4,1980.8,3850.8,-1337.5
23 May 2023,319.4,128.4,-17676.5,-17228.7,338.2,-395
24 May 2023,1497.9,285.2,736.8,2519.9,-241.9,74.3
25 May 2023,2511.7,1146.6,12695,16353.3,-2235.4,1155.5
26 May 2023,1789.7,409.9,11103.3,13302.9,1166.8,-1721.1
29 May 2023,2290.4,-361,-9477.8,-7548.4,-764.2,-1211.2
30 May 2023,2441.3,648.7,-17785.1,-14695.1,-1012.2,-729
31 May 2023,3837.5,-104.4,11513.9,15247,-976,-1044.5
1 Jun 2023,2652,31.4,-1887.6,795.8,1612.3,-861.4
2 Jun 2023,643.2,319.9,17102.2,18065.3,-321.5,-2446
5 Jun 2023,-512.9,459.7,378.3,325.1,1334.4,-1127.2
6 Jun 2023,1111.4,12.8,-25057.2,-23933,759,96.6
7 Jun 2023,1444,149.2,919.6,2512.8,-586,-555.4
8 Jun 2023,612.9,-276.6,-2130.6,-1794.3,875.3,441.6
9 Jun 2023,-133.1,101.3,4712,4680.2,519.1,-320.9
12 Jun 2023,-594.4,235.4,830.8,471.8,283.8,-1800.5
13 Jun 2023,2200.3,63.8,-10242.3,-7978.2,1299.3,-433.7
14 Jun 2023,1862.8,-20.9,368.3,2210.2,280.3,668
15 Jun 2023,3282,-421.9,10836.2,13696.3,3240.6,546.6
16 Jun 2023,181.2,1095.9,992.4,2269.5,1158,-950.7
19 Jun 2023,1756.2,-234,543.2,2065.4,2138.3,-324.2
20 Jun 2023,5866.4,-382.1,-26071.1,-20586.8,3939.6,-93.6
