Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
1 Jan 2021,1180.2,-51,1455.3,2584.5,853.1,-318.1
4 Jan 2021,2758.7,1035.8,2448.3,6242.8,2562.6,2448.3
5 Jan 2021,-193.2,188.8,-2285.8,-2290.2,-788.3,280.1
6 Jan 2021,-345.3,-65.7,7785.7,7374.7,474,410.9
7 Jan 2021,802.5,-1062.6,2960.5,2700.4,1097.8,235.9
8 Jan 2021,6011.5,164.1,1693.3,7868.9,653.9,1330.5
11 Jan 2021,2939.9,-1493.6,716.6,2162.9,1087.8,1088.2
12 Jan 2021,941.1,-1330.6,-2853.9,-3243.4,-2150.5,-508.4
13 Jan 2021,2166.3,-202.2,3673.8,5637.9,-2253.3,-379.6
14 Jan 2021,1611.7,-329.2,42.4,1324.9,-655.2,-575.8
15 Jan 2021,-1052.9,-401.7,-1642.4,-3097,-1937.5,-526.4
18 Jan 2021,1951.5,-1294.9,1979.7,2636.3,-1283.5,-782
19 Jan 2021,847.2,-185.2,1749.9,2411.9,-1083.3,-1191.2
20 Jan 2021,2494.6,-2019,-2419.3,-1943.7,-1336.9,-247.1
21 Jan 2021,1738.8,2173.1,3103.6,7015.5,572.8,594
22 Jan 2021,-839.2,1746.2,-3588.7,-2681.7,-933.2,-537.5
25 Jan 2021,296.8,402.9,4188.8,4888.5,-336.9,-504.3
27 Jan 2021,-673.2,-979.4,581.2,-1071.4,1493.2,-623.9
28 Jan 2021,-3781.1,231.3,5095.2,1545.4,41.7,-751
29 Jan 2021,-4344.2,-187.9,2087.4,-2444.7,550.2,-1613.9
1 Feb 2021,1848.6,133.5,986.4,2968.5,-1762.2,462.2
2 Feb 2021,6809.2,-199.1,1516.8,8126.9,-1973.6,-13.7
3 Feb 2021,2681.3,64.5,-3226.9,-481.1,-435.1,673.8
4 Feb 2021,3797.8,399.5,5634,9831.3,-1620.9,83.9
5 Feb 2021,1412.1,-550.7,1947.6,2809,-2354.6,-191.4
8 Feb 2021,2172.6,-158.6,-1357.1,656.9,-1805,-670.7
9 Feb 2021,3307.3,85.8,-236.1,3157,-2965.2,-139.5
10 Feb 2021,1884.4,-262,2168.6,3791,-3287.9,-398.7
11 Feb 2021,1023.6,-137,2484,3370.6,53.8,-76.4
12 Feb 2021,-1710,267.4,-3304.3,-4746.9,161.1,31
15 Feb 2021,1918.7,624.2,2616.2,5159.1,908.8,-266.9
16 Feb 2021,2212.1,-870.4,2384.9,3726.6,343.5,-533.7
17 Feb 2021,1190.5,-960.3,-889.6,-659.4,338.6,140.1
18 Feb 2021,NA,NA,2434.9,2434.9,471.2,129.6
19 Feb 2021,931.7,-648.5,4796.4,5079.6,-519.5,NA
22 Feb 2021,-493.4,-796,5382.5,4093.1,-946.2,-425.6
23 Feb 2021,-345.2,465,3280.7,3400.5,1842.2,-634.4
24 Feb 2021,-300.5,-1730.1,-1438.6,-3469.2,1604.6,-253.4
25 Feb 2021,1790.1,-2027.7,7947.1,7709.5,-1457.3,-184.6
26 Feb 2021,-8171.5,-857.8,-1397.9,-10427.2,2465.9,-524.9
1 Mar 2021,849.4,-771.4,2102.3,2180.3,1322.6,-427.9
2 Mar 2021,2649.4,-1670.2,-1960.3,-981.1,790.3,NA
3 Mar 2021,2433.3,-2136.1,4435,4732.2,825,32.5
4 Mar 2021,1358.4,-159.4,9198,10397,-1277.9,-452.1
5 Mar 2021,-1796.3,-857.1,-280.3,-2933.7,1824.1,413.1
8 Mar 2021,-1202.2,-1256,-712,-3170.2,2296.9,-240.2
9 Mar 2021,2670.8,-1288.9,4583.5,5965.4,1523.4,-950.8
10 Mar 2021,677.9,-476.1,5361.1,5562.9,409.6,-435.2
12 Mar 2021,3891.3,-548.2,-164.2,3178.9,-1864.9,500.5
15 Mar 2021,-961.7,349,1449.9,837.2,-669,9.5
16 Mar 2021,7257.4,613.8,-374,7497.2,-1806.1,-470.9
17 Mar 2021,3231.4,-213.9,228,3245.5,-518.4,0
18 Mar 2021,1314.2,-308.8,8554.4,9559.8,1338,79.8
19 Mar 2021,606.2,-310.5,4142.2,4437.9,4418.5,-245.1
22 Mar 2021,276.5,379.3,1775.2,2431,-2273.5,-760.2
23 Mar 2021,-29.5,181.3,751.6,903.4,-718.7,-215.6
24 Mar 2021,-1609.8,2014.7,687.9,1092.8,-587.2,224.4
25 Mar 2021,-2887.8,47.2,7335.5,4494.9,2589.9,-610.5
26 Mar 2021,395,861.1,1681.5,2937.6,2511.9,-1403.6
30 Mar 2021,-470.4,-83.8,1779.8,1225.6,-8.1,-900
31 Mar 2021,NA,NA,-593,-593,4100.1,-355.4
1 Apr 2021,-1693.7,1649.4,4679.8,4635.5,-1459.9,-1349.1
