Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
1 Jan 2024,253.2,86.5,18458.4,18798.1,-1864.1,-2650.2
2 Jan 2024,1594.8,949.7,-36006.3,-33461.8,-2325.3,-2862.7
3 Jan 2024,-571.5,867.2,-83190.9,-82895.2,-1325.1,-2522.9
4 Jan 2024,1389.2,729.5,-98483.9,-96365.2,-3962.6,-2734.8
5 Jan 2024,1769,1665.1,25313.6,28747.7,-4090.5,-343.9
8 Jan 2024,285,97.2,-45813.2,-45431,2619.8,991.4
9 Jan 2024,-537.1,1441.6,3727.3,4631.8,1075.5,191
10 Jan 2024,-1650.8,-194.1,-70633.9,-72478.8,649.5,-2378.6
11 Jan 2024,-775.5,903.4,-74823.8,-74695.9,2846.7,-607.8
12 Jan 2024,-430.7,2612.8,23874.7,26056.8,1447.8,456.1
15 Jan 2024,2015.3,643.5,-6983.2,-4324.4,-4706.6,-771.5
16 Jan 2024,1181.7,2365.8,-3582.5,-35,-3216,239.8
17 Jan 2024,-10482.6,915.4,-67206.2,-76773.4,-3018.1,-4278.9
18 Jan 2024,-9194.6,1197.6,-49358.2,-57355.2,1489.1,-4302.4
19 Jan 2024,NA,NA,4507.6,4507.6,-3466.9,-1563.1
20 Jan 2024,-3553.9,585,-13577.5,-16546.4,-602,137.6
23 Jan 2024,-2707.2,748.6,-1520.7,-3479.3,542.8,2539.4
24 Jan 2024,-5426.4,139.1,-2291,-7578.3,-3739.9,-6085.1
25 Jan 2024,5069.9,371.4,-48365.2,-42923.9,-4034.8,-53.4
29 Jan 2024,-4264.4,-161.2,-13474.6,-17900.2,-2546.6,-3831
30 Jan 2024,-1814.6,2506.6,-50530.6,-49838.6,-3618.2,-2292.2
31 Jan 2024,1740.2,2592.6,-58703.8,-54371,260.8,-230
1 Feb 2024,312.6,2267.6,-46398.6,-43818.4,-3874.7,-3090.9
2 Feb 2024,228.5,2900.4,4253.7,7382.6,-5094.7,-3053.5
5 Feb 2024,762.9,870.1,-21064.4,-19431.4,-3140.6,-108.4
6 Feb 2024,-472.8,3161.5,-19831.1,-17142.4,-2343.5,-1218.7
7 Feb 2024,-1601.3,647.2,-17485.2,-18439.3,-9209.9,-1527.9
8 Feb 2024,-4044.8,2654.3,-34897.3,-36287.8,2135.7,-304.3
9 Feb 2024,330.3,-699.8,-7043.7,-7413.2,-3626,964.6
12 Feb 2024,220.4,728.8,-11110.4,-10161.2,-4802.7,-2607.7
13 Feb 2024,233.6,691.7,-3919.1,-2993.8,-3930.5,-2290.5
14 Feb 2024,-2628.3,-113.5,40799.8,38058,1338,-997.2
15 Feb 2024,1143,858.2,-79726.9,-77725.7,-1265.5,636.3
16 Feb 2024,NA,NA,-3447,-3447,988.3,-1410.7
19 Feb 2024,172.7,191.4,-27240.6,-26876.5,951.6,238.5
20 Feb 2024,2973.5,1839,-18687.8,-13875.3,3019.1,1116.6
21 Feb 2024,393.7,-496.8,-14341,-14444.1,-801.8,1719.2
22 Feb 2024,-188,496.8,-1480.5,-1171.7,-2564.2,-2267.2
23 Feb 2024,1551.8,1233.2,-2295.8,489.2,617.9,2791.3
26 Feb 2024,-256.4,572.2,-24313.4,-23997.6,-3919.2,-603.4
27 Feb 2024,2056,1180.2,-31751.4,-28515.2,1121.9,782.4
28 Feb 2024,-1388.7,844.2,-31597.5,-32142,-1244.6,1298
29 Feb 2024,4201.3,-133.8,-7877.7,-3810.2,-4812.8,1478.1
1 Mar 2024,NA,NA,-9246.6,-9246.6,1231.2,-2205.5
2 Mar 2024,2171.1,-216.4,1171.5,3126.2,-3.3,NA
4 Mar 2024,-12,577.4,-18725.4,-18160,2333.9,-1132.4
5 Mar 2024,-221.4,797.3,-23012.6,-22436.7,-5368.7,-1218.8
6 Mar 2024,5684.4,2291.8,-2109.1,5867.1,957.3,-1100.4
7 Mar 2024,10588.6,4382.2,-17440.2,-2469.4,1165.6,-560.7
11 Mar 2024,3945.5,337.9,-14008.8,-9725.4,-4026.7,-647.1
12 Mar 2024,-115.6,2477.1,-5554.9,-3193.4,-1932.1,-2464.7
13 Mar 2024,14582.4,809.6,-13585.8,1806.2,3148.1,-1797.7
14 Mar 2024,-114.2,-940.4,-10487,-11541.6,-4204,-2217.1
15 Mar 2024,773.1,955.9,-5202.2,-3473.2,-4628.9,42.4
18 Mar 2024,-1166.7,-781.3,-17151.3,-19099.3,-2394.8,-1231
19 Mar 2024,1351.1,-434.8,-14982.5,-14066.2,5577.2,-617.9
20 Mar 2024,-2242.8,2159.3,5607.2,5523.7,-1695.1,-1497.2
21 Mar 2024,-1327,941.3,-30083.7,-30469.4,-2870.1,-968.5
22 Mar 2024,-3871.4,-3544.7,-12164.6,-19580.7,647.4,-649.4
26 Mar 2024,-3170.6,2482.2,-14078.9,-14767.3,-1577.2,-1359.2
27 Mar 2024,4042.5,1441.1,-17712.4,-12228.8,-3171.7,4163.3
28 Mar 2024,NA,NA,29250.4,29250.4,-2543.8,3750.4
1 Apr 2024,2355.2,4723,-5368.1,1710.1,-2520.8,-3015.5
2 Apr 2024,-447.3,994.3,9565.6,10112.6,-2503.6,-3872.4
3 Apr 2024,-1254.9,-3653.7,16724,11815.4,3776.9,-75.3
4 Apr 2024,-977.7,-848.9,83439.1,81612.5,86.2,54.4
5 Apr 2024,1915.1,-1625.9,5299.9,5589.1,2290.4,2384.5
8 Apr 2024,NA,NA,-29032.8,-29032.8,5004.1,-2663
9 Apr 2024,8526.6,556.5,28700.3,37783.4,1519.3,-866.4
10 Apr 2024,3230.4,1376.6,17717,22324,7664.8,608.7
12 Apr 2024,-7939.8,-1766.4,-18175.9,-27882.1,6614.2,-3210.2
15 Apr 2024,-3233.5,16.1,-33860.7,-37078.1,2944.2,-4036.3
16 Apr 2024,-3264.7,-3363.1,11634.2,5006.4,2064.4,-656.4
18 Apr 2024,-4163.2,-2582.4,18572.3,11826.7,2048.1,-335
19 Apr 2024,772.8,-819.3,10375.8,10329.3,-1129.3,1372.8
22 Apr 2024,-2619,944.6,-11256.4,-12930.8,1661.4,-774
23 Apr 2024,-3458.1,-1875.5,-22426.2,-27759.8,1374.8,NA
24 Apr 2024,4227.2,-3199.7,-26635,-25607.5,1768.3,1043.3
25 Apr 2024,26.9,484.1,98635.8,99146.8,-379,-52.8
26 Apr 2024,-2372.8,94.1,441.6,-1837.1,-309.8,-2746.6
29 Apr 2024,5.5,-403.5,-17641.5,-18039.5,-748,687.7
30 Apr 2024,1851,-268.3,73045,74627.7,-1361.2,-1361.2
2 May 2024,-695,-1458.6,-16410.7,-18564.3,-5586.8,-6438.2
3 May 2024,-2138,819.2,-15778.3,-17097.1,-5907.9,-5908.5
6 May 2024,-1151,363.5,-9150.4,-9937.9,-6319.4,-2310.6
7 May 2024,-2943,-728.4,-2353.2,-6024.6,-4099.4,-1251.4
8 May 2024,-5336.8,-532.5,-14246.9,-20116.2,-3865.9,-2934.7
9 May 2024,-6669.9,203.1,8857.9,2391.1,-1043.9,-2488.3
10 May 2024,-1292.2,581.4,-3595.9,-4306.7,-5458.8,281.2
13 May 2024,-4392.5,-944.4,5501.4,164.5,457.4,-1310.2
14 May 2024,-2513.1,-81.5,-15994.8,-18589.4,1025,93.3
15 May 2024,-2338.8,1307.9,-38599.4,-39630.3,1774.8,1244.7
16 May 2024,-622.3,916.4,8926.3,9220.4,3468,2519
17 May 2024,NA,NA,-15193.4,-15193.4,818.1,1098.8
18 May 2024,2180.7,898.1,15112.9,18191.7,-46.9,89.2
21 May 2024,-1877.3,724.4,-25981.6,-27134.5,3448.9,490.8
22 May 2024,NA,NA,1631.2,1631.2,1696.4,1559.8
23 May 2024,5891.7,208.4,-37538.8,-31438.7,2553.9,2796.2
24 May 2024,-937.1,652.8,669.2,384.9,4990.2,1225.2
27 May 2024,696.2,2971.7,1208.4,4876.3,2300.1,-296.7
28 May 2024,2134.5,279.2,-11713.3,-9299.6,1160.7,-320.8
29 May 2024,-4311.4,1436.9,5542.7,2668.2,3247.7,-2634
30 May 2024,-1122,1411.3,-28696,-28406.7,-167.3,2796.7
31 May 2024,2177.7,-661.5,-22869.3,-21353.1,-2543.3,NA
3 Jun 2024,6847.1,2264.6,7655.6,16767.3,2903.6,-176.8
4 Jun 2024,-12243.9,862.4,318.5,-11063,-3240,3200.4
5 Jun 2024,-4804.4,601,47391.5,43188.1,5339.6,2079.2
6 Jun 2024,-6770.7,941.4,-11066.2,-16895.5,936,-1438.7
7 Jun 2024,5355.8,1290.2,12968.8,19614.8,2767.1,3672.4
10 Jun 2024,2867.9,-147.6,-2511,209.3,2307.8,-580.3
11 Jun 2024,57,-2498.2,-25525.1,-27966.3,-3855.9,-5439.3
12 Jun 2024,679.3,2091.9,-25659.8,-22888.6,1213.9,-2121.3
13 Jun 2024,2770.4,958.8,-69785.2,-66056,2790.9,1443.3
14 Jun 2024,3234.5,880.5,3184.7,7299.7,-992.3,-174.9
18 Jun 2024,1576.4,2207.9,-7259,-3474.7,2193.8,-398.2
19 Jun 2024,9175.5,842.8,-2546.4,7471.9,7086.1,957.9
20 Jun 2024,1247.6,940.5,-71792.3,-69604.2,4768.4,343.9
21 Jun 2024,1797.7,1146,-2376.5,567.2,493.2,-368.3
24 Jun 2024,860.4,456.4,5667.8,6984.6,-4001.9,-2256
25 Jun 2024,2465,1066.4,60438,63969.4,-4674.9,957.5
26 Jun 2024,1513.2,765.5,1916,4194.7,2215.8,-1746.9
27 Jun 2024,7758,945.7,35514.5,44218.2,-317.2,4750.8
28 Jun 2024,1553.4,2207.2,14407.8,18168.4,-6517.5,-6517.5
1 Jul 2024,-494.1,1162.9,-25972,-25303.2,1890,-3397.7
2 Jul 2024,-2507.1,302.3,-34031.1,-36235.9,1743.7,-1755
3 Jul 2024,3898.5,699.2,2467.9,7065.6,-1071.8,-4887.2
4 Jul 2024,5511.5,1932.6,-18936.6,-11492.5,-2542.8,-1399.4
5 Jul 2024,3169.4,496.9,33662.1,37328.4,-3910.1,-2298.7
8 Jul 2024,161.7,-239.3,-613.8,-691.4,2479.9,1148.1
9 Jul 2024,1528.2,568.5,-26501.1,-24404.4,3436.2,2162.9
10 Jul 2024,2184,649.1,12863.1,15696.2,4920.7,3467.7
11 Jul 2024,346.9,704.9,-72709.3,-71657.5,-2274.9,-1843.1
12 Jul 2024,5367.8,584.5,2434.2,8386.5,876.8,806.3
15 Jul 2024,3337.9,295.1,14828,18461,-1030.7,806.3
16 Jul 2024,1660.8,1277.3,-22144,-19205.9,-4190.8,-1582.5
18 Jul 2024,5052.9,2932,47310.5,55295.4,-2871.6,-475.9
19 Jul 2024,1824.1,1589.8,14332.9,17746.8,-45.3,-219.7
