Date,FII_Equity_Gross_Purchase,FII_Equity_Gross_Sales,FII_Equity_Net_Purchase_Sales,FII_Debt_Net_Purchase_Sales,FII_Debt_Gross_Sales,FII_Debt_Gross_Purchase
1 Jan 2025,-597.5,-83.5,10807.3,10126.3,-2833.2,-3001.1
2 Jan 2025,1663.6,-555,-11023.4,-9914.8,-2467.6,-1331.2
3 Jan 2025,-2874.8,-45.3,-6514.3,-9434.4,-1064.1,-230.5
6 Jan 2025,-3055.2,-485.4,27042.9,23502.3,1201.6,-2094.1
7 Jan 2025,-1220.2,-22.2,-14685.1,-15927.5,-4345.6,-320.1
8 Jan 2025,-3729.3,-2358,-33507.1,-39594.4,-727.3,-1505.8
9 Jan 2025,-7029.4,917.3,-33338.7,-39450.8,566.2,-3072
10 Jan 2025,-1421.4,103.8,2094.3,776.7,3312.8,-194.1
13 Jan 2025,-4276.5,202.3,25450.5,21376.3,2164,-2655.6
14 Jan 2025,-7766.4,-680.2,27860.6,19414,-671.5,-3336.1
15 Jan 2025,-4396.9,-528.1,-63837.6,-68762.6,3546.5,NA
16 Jan 2025,-4341.2,-841.1,12217.4,7035.1,4844.3,1695.2
17 Jan 2025,-3627.1,533.8,-18095.5,-21188.8,-332.6,1095.5
20 Jan 2025,-3724.8,115.4,11236.3,7626.9,-797.5,-961.4
21 Jan 2025,-6327.9,-189.1,-12242.4,-18759.4,-2000.3,-764.4
22 Jan 2025,-3018,290.4,-50902.6,-53630.2,-1265.1,-355.5
23 Jan 2025,-3061.5,-301.1,3851,488.4,-2460.7,-1742
24 Jan 2025,-2866.3,-646.6,-11921.4,-15434.3,-3374.5,-229.7
27 Jan 2025,-4514.2,379.6,4946.4,811.8,882.6,83.1
28 Jan 2025,-2940.9,985.2,6474.9,4519.2,2334.3,1435.2
29 Jan 2025,-1796.2,116.4,28972.7,27292.9,2477.4,2184.4
30 Jan 2025,-1753.8,140,-49550.2,-51164,-9498.5,-966.1
31 Jan 2025,NA,NA,-36690.2,-36690.2,-8236.4,-4888.4
1 Feb 2025,-1.3,293,2650.6,2942.3,808.3,NA
3 Feb 2025,-3628,197.1,-27137.1,-30568,-4674.7,-2281
4 Feb 2025,1029.4,-51.9,19859.2,20836.7,-9034.2,-4210.6
5 Feb 2025,-1147.5,381.2,-18667.3,-19433.6,-4393.6,-637.4
6 Feb 2025,-3594.4,396,3209.1,10.7,-8608.7,-5494.1
7 Feb 2025,-472.7,-51.2,7269.8,6745.9,-10077.6,-3774.1
10 Feb 2025,-2297.1,-1368.2,1097.6,-2567.7,-2816.4,-2674.8
11 Feb 2025,-4089.3,-496.4,-236,-4821.7,181.8,-2310
12 Feb 2025,-4875.8,361,-3942.1,-8456.9,2014.5,-1937.3
13 Feb 2025,-2195.6,-956.7,5323.4,2171.1,1211.9,303
14 Feb 2025,-5023.4,-266.4,4702.7,-587.1,-3907.6,-2405.6
17 Feb 2025,-2122.8,-813.6,779.4,-2157,-1302.3,-2457.4
18 Feb 2025,NA,NA,2203.7,2203.7,748.1,1280.7
19 Feb 2025,8216.3,-1424.7,4085.2,10876.8,1449,-280.1
20 Feb 2025,-3507.6,-127.5,-5039.9,-8675,2047.6,569.3
21 Feb 2025,-3431.2,-2425.1,1398.3,-4458,-2105.6,-161.6
24 Feb 2025,-5719.2,191.7,-795.8,-6323.3,-764.8,-3051.8
25 Feb 2025,-2833.9,56.6,2148,-629.3,-4427.5,-1028.9
27 Feb 2025,1119.8,597.4,-26583.3,-24866.1,-6570.1,1590.2
28 Feb 2025,-12026,600.6,-5076.7,-16502.1,3730.6,-3109.3
3 Mar 2025,-4662.5,1433.7,-459.8,-3688.6,2287.3,-1407.2
4 Mar 2025,-3536,-390,27930.6,24004.6,561,26.4
5 Mar 2025,-1889.5,832.6,1891.5,834.6,-3237.2,401.8
6 Mar 2025,-2638.8,-72.2,-15289.6,-18000.6,-259.4,2940.1
7 Mar 2025,-3214.8,426.4,13569.2,10780.8,-2035.7,475.4
10 Mar 2025,-497.9,705.5,4214.6,4422.2,-2704.4,245.3
11 Mar 2025,-139.2,2439.2,20492,22792,-5440.8,-1128.9
12 Mar 2025,-1410.3,1379.1,-10617.5,-10648.7,-1247,82.1
13 Mar 2025,-857.3,444.8,-78772.1,-79184.6,-1159.6,1880
17 Mar 2025,-3707.3,384.6,16939.2,13616.5,852.9,-1779.1
18 Mar 2025,710.4,-125.6,-5037.4,-4452.6,-5676,1553.2
19 Mar 2025,-1031.4,3051.5,26262.4,28282.5,-3469,3082.2
20 Mar 2025,3181.6,82.4,-62381.3,-59117.3,-10757.9,3965.8
21 Mar 2025,5263.2,790.2,-11286.9,-5233.5,-1936.3,1910.7
24 Mar 2025,6205.5,134.3,-16198.5,-9858.7,-6805.1,1160.3
25 Mar 2025,5698.7,-480.3,27617.5,32835.9,-3023,3891.2
26 Mar 2025,2457.9,-1060.4,22898.2,24295.7,-4981.7,168.4
27 Mar 2025,8121,-865.6,-17228.6,-9973.2,3189.7,3090.1
28 Mar 2025,NA,NA,-28019.4,-28019.4,-2949,-2237.6
1 Apr 2025,-6335.7,23.6,5043,-1269.1,-2735.8,-6817.4
2 Apr 2025,-1060.3,-185.8,-26470.4,-27716.5,9292.1,3500.3
3 Apr 2025,-2958.6,-1172.6,-24662.1,-28793.3,-7480.5,-7343.4
4 Apr 2025,-3128.2,-73.6,21094.9,17893.1,-706.7,-621.2
7 Apr 2025,-8931.2,-2916.8,19342.1,7494.1,5579,-7236.3
8 Apr 2025,-4673.9,-1159.4,64678.6,58845.3,2442.2,183.2
9 Apr 2025,-4487.4,-1475.6,-95397.3,-101360.3,464,-1558.9
11 Apr 2025,-2352,-707.3,40736.6,37677.3,-4269.1,-4269.9
15 Apr 2025,6798.3,-59.4,-87049.6,-80310.7,-2864.2,3744.4
16 Apr 2025,4026,-1491.1,31889,34423.9,7154.9,6216.7
17 Apr 2025,4317.3,-153.8,-53152.1,-48988.6,-2385.1,3155.3
18 Apr 2025,NA,NA,NA,NA,0,NA
21 Apr 2025,1749.6,-66.9,-21545.1,-19862.4,5808.9,4215.6
22 Apr 2025,1965.2,-795.8,-4693,-3523.6,-2537.6,2254.2
23 Apr 2025,3967.2,-248,-7655.5,-3936.3,3614.3,4412.9
24 Apr 2025,5425.6,-124.4,-5061.2,240,-5379.8,-276.2
25 Apr 2025,5040.4,-427.3,-60875.1,-56262,-904.9,-66.1
28 Apr 2025,2509.6,-1234.2,-2439,-1163.6,-8752.5,-6669.5
29 Apr 2025,2351.2,-1045.6,-11040.5,-9734.9,-10718.9,-3451.1
