Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
2 Jan 2023,3039.6,2967.2,72.4,-196.7,4429.5,4232.8
3 Jan 2023,3526.8,3509.9,16.9,2153,3553.2,5706.2
4 Jan 2023,3980.5,3780,200.5,640,4333.3,4973.3
5 Jan 2023,5391.4,5594.6,-203.2,558.2,3360.9,3919.1
6 Jan 2023,4793.6,4430.9,362.7,-298,3031.4,2733.4
9 Jan 2023,4862.8,3151.4,1711.4,494,3680.4,4174.3
10 Jan 2023,4738.4,3534.7,1203.7,-192.9,5805.9,5613
11 Jan 2023,4953.8,3409.4,1544.4,-520.6,6864.7,6344
12 Jan 2023,4625.7,2871.6,1754.2,394.3,5143.9,5538.2
13 Jan 2023,4329.8,2878.5,1451.3,-1448.2,8057.7,6609.5
16 Jan 2023,3796.5,3532.8,263.7,7,5168,5175
17 Jan 2023,3634.6,3853.7,-219.1,283.1,6099.9,6383
18 Jan 2023,4972.2,4215.3,756.9,87.4,5647.4,5734.8
19 Jan 2023,2918.9,3223,-304.2,-222.6,9076.5,8853.9
20 Jan 2023,4450.6,3079,1371.5,-860.8,9597.2,8736.4
23 Jan 2023,4622.3,3908.3,714,-255.7,7503.3,7247.6
24 Jan 2023,4908.1,4152.4,755.7,-1753.2,11230.2,9476.9
25 Jan 2023,10002.1,13236.9,-3234.7,244.1,6501.8,6745.9
27 Jan 2023,10580.2,5967.1,4613.1,-2166.5,10607.6,8441.1
30 Jan 2023,9357.8,4719.6,4638.1,-2908.2,17145.2,14237
31 Jan 2023,8686.4,4802.4,3884,-2637.2,8968.7,6331.5
1 Feb 2023,7836.9,8341.1,-504.3,36.7,7012.9,7049.6
2 Feb 2023,7326.3,5685.1,1641.2,-4022.3,11904,7881.7
3 Feb 2023,5759.1,4561.1,1198,1748.4,10619,12367.4
6 Feb 2023,4828.1,3627.6,1200.5,-343.1,8276,7932.9
7 Feb 2023,4731.4,4097.9,633.6,-306.4,7367.1,7060.8
8 Feb 2023,4464.6,4098,366.7,-1449.8,8372.6,6922.8
9 Feb 2023,4032.9,4337.2,-304.3,-1418.7,6664.6,5245.9
10 Feb 2023,3905.8,4036.8,-131.1,-686,5365.4,4679.5
13 Feb 2023,4299.4,3888.5,410.8,-1181.2,6568.2,5387
14 Feb 2023,3694,3576.7,117.3,-352.2,7065.2,6713
15 Feb 2023,4351,4303.4,47.5,-68.8,6452.4,6383.6
16 Feb 2023,6024.6,4406.8,1617.8,-589,7138,6549
17 Feb 2023,3989.9,4094.6,-104.8,-1950.2,11845.6,9895.4
20 Feb 2023,3610.7,3675.7,-65,-581.9,6181.5,5599.6
21 Feb 2023,4046.7,4139.6,-93,59.2,8471.9,8531.2
22 Feb 2023,4077.7,3776.6,301.1,-777.7,4842.7,4065
23 Feb 2023,8141.8,7547.1,594.7,-264.4,8731.7,8467.4
24 Feb 2023,4158.4,3587.4,571,676.5,10398.2,11074.7
27 Feb 2023,5071.9,3325.3,1746.6,-629.7,12063.1,11433.4
28 Feb 2023,7277.6,3697.4,3580.2,-767.8,5960.8,5193
1 Mar 2023,4042.1,3603.3,438.8,-844,6978.7,6134.7
2 Mar 2023,4418.6,2961.5,1457.2,-420,5916.4,5496.3
3 Mar 2023,4151.4,2809.9,1341.5,-328.1,7244.6,6916.5
