Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
1 Jan 2021,2102,1843.2,258.7,912.5,4269.9,5182.3
4 Jan 2021,1577.8,2743,-1165.2,1279.5,2843.2,4122.7
5 Jan 2021,2351.6,3652.8,-1301.2,232.8,3643,3875.8
6 Jan 2021,2891.5,4030.3,-1138.8,1201.9,3355.5,4557.4
7 Jan 2021,2331.8,3560.1,-1228.4,2090.3,4751.3,6841.5
8 Jan 2021,3494,5316.3,-1822.3,1145.7,4008,5153.7
11 Jan 2021,3209.2,5501.7,-2292.4,2292,4070.6,6362.6
12 Jan 2021,3704.5,4969.7,-1265.2,-376.9,5546.7,5169.7
13 Jan 2021,4100.8,5410.7,-1309.9,-563.8,6188.5,5624.7
14 Jan 2021,4537.2,4335.1,202,-281.4,7089.6,6808.2
15 Jan 2021,3654.8,4178.4,-523.7,-887.4,6182.4,5295
18 Jan 2021,4856.2,4582,274.2,-775.7,5436.8,4661.1
19 Jan 2021,3542.3,3707.5,-165.2,273.1,3299.1,3572.2
20 Jan 2021,3607.1,4965.4,-1358.4,268.6,4921.6,5190.2
21 Jan 2021,3225.2,4341.3,-1116.2,1095,3991.2,5086.2
22 Jan 2021,3624.7,4522.6,-897.9,502.2,5349.1,5851.4
25 Jan 2021,3908.6,4401.8,-493.2,660.6,7456,8116.6
27 Jan 2021,4633.3,4334.4,298.9,1818.2,4084.9,5903.1
28 Jan 2021,4992.8,4950.7,42.1,750.6,6511.6,7262.2
29 Jan 2021,5606.2,3636,1970.2,193.9,10294.6,10488.5
1 Feb 2021,4213.8,5130.3,-916.5,-1307.9,6043.2,4735.4
2 Feb 2021,5292.2,7507.6,-2215.3,255.4,4853.4,5108.8
3 Feb 2021,4233.2,4720.5,-487.3,-621.6,6485,5863.5
4 Feb 2021,4527.1,5468.2,-941.1,-763.7,5349.1,4585.4
5 Feb 2021,4594.3,6012.7,-1418.4,-744.8,5435.7,4691
8 Feb 2021,3973.6,4791.7,-818.1,-316.2,4918.8,4602.6
9 Feb 2021,3144,5286,-2142,-683.7,6476.4,5792.7
10 Feb 2021,3350.8,5410.6,-2059.8,-829.4,7615.3,6786
11 Feb 2021,2800.4,3760.6,-960.2,1090.4,5056,6146.4
12 Feb 2021,2681.8,3411.8,-730,860.1,3614.3,4474.5
15 Feb 2021,3086.9,3640.4,-553.5,1729.2,4108.4,5837.6
16 Feb 2021,3306.3,4447.8,-1141.4,2018.6,5786.8,7805.4
17 Feb 2021,4128,5233.6,-1105.7,1304.2,7592.9,8897.1
18 Feb 2021,2428.3,2988.6,-560.2,901.8,2493.2,3395
19 Feb 2021,2555,3074.4,-519.4,-0.1,0.8,0.7
22 Feb 2021,3556.6,3893.9,-337.3,-183.3,5399.6,5216.2
23 Feb 2021,3480.3,3140.3,340,2136.6,4959.5,7096.1
24 Feb 2021,2820.9,2099.3,721.5,1136.5,4294.8,5431.3
25 Feb 2021,3801.2,6166.5,-2365.3,1092.6,3670,4762.6
26 Feb 2021,5610,3706,1904,1086.8,4291.7,5378.5
1 Mar 2021,2435.7,1942.6,493.1,1257.4,813.8,2071.2
2 Mar 2021,2170,2429.6,-259.6,1049.9,1473.4,2523.3
3 Mar 2021,3640.2,3489.5,150.7,641.8,3625.3,4267.1
4 Mar 2021,3001.9,4082.8,-1080.9,255.1,3576.1,3831.2
5 Mar 2021,2591.4,3455.8,-864.4,2275.4,3889.8,6165.2
8 Mar 2021,2683.2,2339,344.2,2192.9,6173.6,8366.5
9 Mar 2021,5088.2,3394.9,1693.3,780.9,6755,7535.8
10 Mar 2021,2973.6,2315,658.6,186.2,5521.7,5707.9
12 Mar 2021,3021.1,3744,-722.9,-1642.5,8407,6764.5
15 Mar 2021,2752.6,3134,-381.4,-297.1,5179.6,4882.5
16 Mar 2021,3461.5,4341.9,-880.4,-454.8,5802.6,5347.7
17 Mar 2021,4088.4,4682,-593.6,75.2,6179.3,6254.5
18 Mar 2021,3461.7,4117.8,-656.2,1914.4,7334.5,9248.9
