Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
1 Jan 2026,10437.2,9417.4,1019.8,1233.4,11240.3,12473.7
2 Jan 2026,10992.5,11557.9,-565.4,-948.4,11755.8,10807.4
5 Jan 2026,11830.8,11427.2,403.6,-4579.7,20409.2,15829.5
6 Jan 2026,12912,12068.4,843.6,-2865.8,19313.9,16448.1
7 Jan 2026,14027.5,12163.6,1864,-3571.5,17274.9,13703.4
8 Jan 2026,14178.8,11220.2,2958.6,-2781.2,16754.8,13973.6
9 Jan 2026,14649.6,9015.4,5634.2,-1738.3,12885.7,11147.4
12 Jan 2026,13178.9,8628,4550.9,-51.9,16190.4,16138.5
13 Jan 2026,11439.5,11422.5,17.1,-6138.6,20568,14429.5
14 Jan 2026,15398.3,12181.9,3216.4,-2571,17894.5,15323.5
15 Jan 2026,0,0,0,0,0,0
16 Jan 2026,15180,12804,2376.1,-6472,17321.5,10849.4
19 Jan 2026,14177,11326.1,2850.9,-4176.3,15785.5,11609.2
20 Jan 2026,14858.2,12960.5,1897.7,-9418.7,23057.1,13638.4
21 Jan 2026,14030.7,10592.3,3438.4,-5232.3,22748.6,17516.3
22 Jan 2026,13644.8,10467.1,3177.8,-5198.9,21787.6,16588.7
23 Jan 2026,14341.9,11377.5,2964.4,-9274.7,22162.9,12888.2
27 Jan 2026,26758.2,24391,2367.2,-9793.8,21500.1,11706.3
28 Jan 2026,15716.6,12668.9,3047.7,-8149.9,27729.2,19579.3
29 Jan 2026,19691.6,17960.6,1731,-5202.2,21560.2,16358
30 Jan 2026,14747.2,16186.1,-1438.9,-3875.1,15852.6,11977.5
1 Feb 2026,295.9,376.4,-80.6,0,0,0
2 Feb 2026,15158.9,13678.7,1480.2,-2035.7,20163.8,18128.1
3 Feb 2026,20716.9,22511.2,-1794.3,-2734.7,25561,22826.3
4 Feb 2026,14169,14534.5,-365.5,-5982.8,30527.5,24544.7
5 Feb 2026,11231,12001.6,-770.6,-14256.1,40483.7,26227.6
6 Feb 2026,10457.1,12692.7,-2235.6,-8858,26468.9,17610.9
9 Feb 2026,10379.7,10773.1,-393.4,-5250,19469.7,14219.7
10 Feb 2026,12296.5,11829.9,466.6,-2203.8,15324.8,13120.9
11 Feb 2026,12370,12531.5,-161.5,1909.9,15521.8,17431.7
