Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
10 Feb 2025,7596.7,6850.4,746.2,-887.8,7444.3,6556.4
11 Feb 2025,11120.7,8190.4,2930.3,-438.5,8320.5,7882
12 Feb 2025,12952.6,7687.7,5264.9,-1313.1,12054.8,10741.7
13 Feb 2025,10355.8,8215.8,2140,-1231.1,11748.4,10517.3
14 Feb 2025,9809.1,6649.1,3160,-4662,11709,7047
17 Feb 2025,10479,6465.9,4013.1,-2858,18145.7,15287.7
18 Feb 2025,9249.7,7774.1,1475.6,-2008.2,19552.3,17544.2
19 Feb 2025,9390.8,7610.4,1780.5,-51.4,71.7,20.3
20 Feb 2025,10086.9,7460.9,2626,-1147.7,18252.6,17104.8
21 Feb 2025,10412.9,7934.7,2478.2,-4422.2,14238,9815.8
24 Feb 2025,10775.9,5093.3,5682.6,-3395.6,17586.6,14191
25 Feb 2025,8999.9,6954.2,2045.8,-5444.4,20861.4,15417
27 Feb 2025,16281.1,15743.3,537.8,-8698.1,18740.3,10042.2
28 Feb 2025,24528.3,13295.4,11232.9,-4393,10302.9,5909.9
3 Mar 2025,14071.8,6842.6,7229.2,-3534.7,12123.4,8588.8
4 Mar 2025,10269.8,6898.4,3371.4,-2836.8,17594.2,14757.4
5 Mar 2025,11429.5,9506.7,1922.8,-5561.8,23792,18230.2
6 Mar 2025,10000.6,9736.3,264.4,-3463.9,18809.6,15345.8
7 Mar 2025,7476.7,6747.8,728.9,-3240,24733.1,21493.1
10 Mar 2025,7617.2,7946.5,-329.3,-2620.4,24890.8,22270.5
11 Mar 2025,9164.8,6820.1,2344.7,-6656.6,32580.5,25923.9
12 Mar 2025,6375.6,5584,791.6,-2120.7,15183.6,13062.9
13 Mar 2025,6901.2,6404.8,496.3,-3535.9,15095.6,11559.7
17 Mar 2025,9664,5096.3,4567.7,-1935.7,13555.7,11620
18 Mar 2025,8577,8029.3,547.7,-7776.9,19713.4,11936.5
19 Mar 2025,9686,8680.2,1005.8,-7557,29588.3,22031.2
20 Mar 2025,5293.1,8303.4,-3010.3,-11713.4,18259.8,6546.5
21 Mar 2025,13987.2,18542.4,-4555.2,708.2,20888.7,21597
24 Mar 2025,9080,10042.4,-962.3,-7003.1,16852.1,9849
25 Mar 2025,7827.5,12092.4,-4264.9,-2649.3,13580.8,10931.5
26 Mar 2025,8674.8,9675.8,-1000.9,-4149.2,11622.6,7473.4
27 Mar 2025,139.2,110.8,28.4,71.2,0,71.2
28 Mar 2025,11338.8,7055.9,4282.9,-4994.3,10531.6,5537.3
1 Apr 2025,10062.5,6030,4032.5,49.1,47.6,96.7
2 Apr 2025,8385.4,6312.6,2072.8,3719,6514.8,10233.8
3 Apr 2025,0,0,0,-137.1,1211.4,1074.3
4 Apr 2025,162.8,169.6,-6.9,-78.6,475.8,397.2
7 Apr 2025,21124.8,9768.2,11356.7,1458.6,14288.2,15746.8
8 Apr 2025,7431.2,6304.1,1127.2,1131.8,5738,6869.8
9 Apr 2025,9301,8299.4,1001.7,1021.2,11711.6,12732.8
11 Apr 2025,10604,7473.6,3130.4,-3129.6,13516.6,10387
15 Apr 2025,7586.9,10056.6,-2469.8,-4138.8,12157.2,8018.4
16 Apr 2025,7212.8,10718.9,-3506.1,4444.3,12062.4,16506.7
17 Apr 2025,10865.8,11676.6,-810.8,-4729.6,14945.4,10215.8
18 Apr 2025,0,0,0,0,0,0
21 Apr 2025,12088.3,11909.6,178.8,1414.5,9695.4,11109.9
22 Apr 2025,10830,12802.3,-1972.3,-2819.5,15283.8,12464.2
23 Apr 2025,11603.3,11950.9,-347.6,-451,10473.6,10022.6
24 Apr 2025,26277.4,31240.4,-4963,-140.6,11168,11027.4
25 Apr 2025,12596.5,9780.5,2816,-3654.8,14546.1,10891.2
28 Apr 2025,11795.9,8488.4,3307.5,-5390.5,14908.9,9518.4
29 Apr 2025,10011.8,8909.3,1102.5,-8370.3,15304.3,6934
30 Apr 2025,11177.2,9164.3,2012.9,-4052,11771.9,7719.8
1 May 2025,0,0,0,0,0,0
2 May 2025,11223.6,7525.3,3698.3,26.7,8446.2,8472.8
5 May 2025,10858.9,7814.5,3044.4,-5113.7,19133.7,14020
6 May 2025,8285.1,9956.2,-1671.1,-7235.1,19552.9,12317.7
7 May 2025,10310.6,7394.5,2916,-5662.1,19371.1,13709
8 May 2025,9678.4,9910.3,-231.9,-7301.5,23252.4,15950.8
9 May 2025,11912.4,6083.1,5829.3,-2943.3,14208.9,11265.6
12 May 2025,11982.8,9833,2149.8,90.4,20.1,110.5
13 May 2025,12188.2,8639.7,3548.5,-1766.3,12275.6,10509.3
14 May 2025,6574.5,7110,-535.4,-4227.5,8967.3,4739.8
15 May 2025,11418.5,12655.8,-1237.3,-6905.3,18334.2,11428.9
16 May 2025,13439.3,9172.6,4266.8,-7065.1,21980.1,14915
19 May 2025,7940.1,8377.8,-437.7,-7025.3,24506.5,17481.2
20 May 2025,11810.5,6208.1,5602.4,-7200.2,18232.4,11032.2
21 May 2025,7947.5,7236.1,711.4,-3690.6,17442.7,13752.2
22 May 2025,9746.4,7340.3,2406.1,-1325.9,18697.8,17371.9
23 May 2025,7532.6,6896.4,636.2,-615.5,17355.2,16739.7
26 May 2025,7024,6155.9,868.1,-2968,19559.5,16591.5
27 May 2025,16111,7111.5,8999.5,-7702.5,20216.8,12514.3
28 May 2025,14418.2,7540.3,6877.9,-1067.4,12462.6,11395.3
29 May 2025,16044.6,15163.6,881,-3364.8,10045.4,6680.6
30 May 2025,17167.9,9188,7979.8,-2513.2,8404.8,5891.6
2 Jun 2025,10914.9,7184.9,3730,-1463.2,7111.3,5648.1
3 Jun 2025,11895.2,7616.8,4278.3,3471.2,10483,13954.2
4 Jun 2025,7741.6,6218.6,1523.1,-7595.2,20752.9,13157.7
5 Jun 2025,7849.9,6643.9,1206,-2536.2,18112.4,15576.2
6 Jun 2025,12576.2,6799.3,5776.9,-2106.6,12315.2,10208.6
9 Jun 2025,11709,9119.4,2589.5,2149.4,20698.1,22847.5
10 Jun 2025,6759.2,6775.4,-16.2,-2135.4,12779.2,10643.8
11 Jun 2025,11529.4,10304.1,1225.2,-2974.6,22069,19094.4
12 Jun 2025,17460.5,9280.1,8180.4,1250.7,14175.1,15425.7
13 Jun 2025,10106.5,8328.5,1778,26.4,12991.4,13017.8
16 Jun 2025,11306.1,5634.1,5672,-2050.7,16692.1,14641.4
17 Jun 2025,15582.7,9201.1,6381.6,-2323.2,16804.2,14481
18 Jun 2025,5557.5,5905.5,-348,-6048.8,12274.9,6226.1
19 Jun 2025,8154.3,7980.6,173.7,-4927.9,24131.5,19203.6
20 Jun 2025,21702.6,23251.6,-1549,-860.2,22610.3,21750.2
23 Jun 2025,10731.9,5536.1,5195.8,-703.8,14414.2,13710.4
24 Jun 2025,11769.6,7301.4,4468.2,512.1,17444.2,17956.2
25 Jun 2025,9187.5,7850,1337.5,586.5,9796.6,10383.2
26 Jun 2025,19805.6,27918.5,-8112.9,-851.8,11512.2,10660.3
27 Jun 2025,26019.8,26243.7,-223.9,-165.3,3793.4,3628.1
30 Jun 2025,11190.2,8937.5,2252.7,-2164.8,8687.5,6522.6
1 Jul 2025,9580.4,9839.2,-258.8,3680.4,8343.8,12024.2
2 Jul 2025,8512.4,7170.9,1341.4,4987.2,4020.4,9007.6
3 Jul 2025,9565.9,8543.5,1022.4,3841.4,16801,20642.4
4 Jul 2025,7518,7943.9,-426,3286.8,13068.7,16355.5
7 Jul 2025,8105,6912.7,1192.3,1039.7,10934.1,11973.8
8 Jul 2025,10336.3,8983.5,1352.8,-361.3,10792.2,10430.9
9 Jul 2025,9838.1,9127.3,710.8,-2974.2,13040,10065.8
10 Jul 2025,9256.2,8766.6,489.6,-1129.1,14523.4,13394.3
11 Jul 2025,11834.6,8949,2885.6,31.8,11352.5,11384.2
12 Jul 2025,0,0,0,0,0,0
14 Jul 2025,11414.7,9492,1922.7,-1017.7,17170,16152.2
15 Jul 2025,10891,9175.8,1715.3,-3860.3,14776.8,10916.5
16 Jul 2025,9427.9,8956.6,471.3,437.7,14824.2,15261.9
17 Jul 2025,10162.5,8125.8,2036.7,1358.3,13007.5,14365.9
18 Jul 2025,11488.3,8825.4,2662.9,-1674.4,15185,13510.6
21 Jul 2025,10724.2,7066.3,3658,-788.6,11792.8,11004.2
22 Jul 2025,13572.3,8788.5,4783.8,-2222.4,14171.2,11948.8
23 Jul 2025,12330.6,7925.4,4405.2,-2153.2,19754.2,17601
24 Jul 2025,10289.5,8787.5,1502,-5177.1,16865.9,11688.8
25 Jul 2025,9520.7,8617.2,903.5,-4833.3,18026.2,13192.8
28 Jul 2025,12657.5,6558,6099.5,-4153.8,15570.3,11416.5
29 Jul 2025,13656.5,7799.2,5857.3,-3907.3,14433.6,10526.3
30 Jul 2025,9610.4,8539,1071.3,-2331.2,12787.5,10456.3
1 Aug 2025,11111.7,9629.3,1482.4,-1483.6,13092.6,11609.1
4 Aug 2025,10405.1,7140.4,3264.7,-10332.5,25113,14780.5
5 Aug 2025,10382.5,8281.7,2100.8,-5356.5,24284.4,18927.8
6 Aug 2025,12963.9,7253.6,5710.2,-7158.2,20325.6,13167.4
7 Aug 2025,15766.4,6663,9103.3,-4295.7,17871.4,13575.7
8 Aug 2025,13101.3,7011.5,6089.8,-7524.7,18628.1,11103.4
11 Aug 2025,11908.8,6437,5471.8,-4377.9,12326.1,7948.2
12 Aug 2025,8728.9,5992.3,2736.6,-1842.9,14732.7,12889.8
13 Aug 2025,10874.4,5508.5,5365.8,1038.6,16731.2,17769.8
14 Aug 2025,9676,5952.4,3723.5,-772.2,11943.8,11171.6
18 Aug 2025,14744.5,9553.5,5191,-1345.1,16894.3,15549.2
19 Aug 2025,8885.7,7120.5,1765.2,-261.6,17930.1,17668.5
20 Aug 2025,10504.7,9412.5,1092.2,-1888,15850,13961.9
21 Aug 2025,8509.6,6951.7,1557.9,-2268.5,10916.7,8648.2
22 Aug 2025,7338.5,7422.5,-84.1,-969.1,14511.7,13542.6
25 Aug 2025,10516.1,7235.9,3280.1,-2616.6,15744.9,13128.2
26 Aug 2025,18239.4,12122.8,6116.6,-3134.3,19031.2,15896.9
28 Aug 2025,14589.7,14437.1,152.6,-7464,13753.2,6289.2
29 Aug 2025,13873.4,7459.7,6413.7,-3235.2,11718.7,8483.6
1 Sep 2025,10641.9,7362.1,3279.8,-2439.9,10491.2,8051.2
2 Sep 2025,9048.6,8375.2,673.5,-4580.3,21555.5,16975.2
3 Sep 2025,11163.4,9086,2077.4,-5597.3,39289.2,33691.9
4 Sep 2025,12630.4,10655.5,1975,-4862.7,26420.4,21557.7
5 Sep 2025,7824,6685.9,1138.1,-810.3,1802.3,992
8 Sep 2025,5264.2,4787.2,477,34.1,12.6,46.6
9 Sep 2025,4758.5,5070.9,-312.4,-5093.9,13530.2,8436.3
10 Sep 2025,7822,5714.1,2107.8,-64.8,11770,11705.2
11 Sep 2025,11450.2,7782.6,3667.5,-4313.5,23574.8,19261.3
12 Sep 2025,8000.7,6265.6,1735,-6712.2,29912.5,23200.2
15 Sep 2025,7337,5120,2216.9,-4275,22133.9,17858.9
16 Sep 2025,8455.2,6673,1782.2,-660.2,19605.8,18945.5
17 Sep 2025,9226.3,6975.4,2251,-3605.8,27737.3,24131.5
18 Sep 2025,10591.9,7401.1,3190.8,1289.3,29947.7,31237
19 Sep 2025,10357.1,9743.2,613.9,-1900.7,22507.3,20606.6
22 Sep 2025,9658.8,7201.7,2457.2,-1819.2,18222,16402.8
23 Sep 2025,7431.8,5512.2,1919.6,-367.9,9187,8819.2
24 Sep 2025,8688.4,8028.7,659.7,-2625.5,18727.2,16101.7
25 Sep 2025,11276,7153,4123,-2722.2,15302.6,12580.4
26 Sep 2025,14048.6,8719.8,5328.8,129.4,10949.9,11079.3
29 Sep 2025,33998.3,30778,3220.3,-1813.9,13286.3,11472.4
1 Oct 2025,11375.5,8521,2854.6,6266.5,12115.2,18381.6
2 Oct 2025,0,0,0,0,0,0
3 Oct 2025,10781.7,10808.7,-27,4397.9,12353.1,16750.9
6 Oct 2025,11478.2,8120.1,3358.1,-1168.6,16474.7,15306.1
7 Oct 2025,10240,11206.7,-966.7,-931.4,19320.8,18389.5
8 Oct 2025,8243.4,8973.4,-730,-2392.4,14794.2,12401.8
9 Oct 2025,9233.3,8787.5,445.8,-3645.8,16015.2,12369.4
10 Oct 2025,9066.6,7620.9,1445.7,1019.9,13791.4,14811.3
13 Oct 2025,11045.2,11060.6,-15.4,-605.6,12174.4,11568.9
14 Oct 2025,12001.8,9736.3,2265.5,927.3,14745.7,15673
15 Oct 2025,11999.4,8513.5,3485.8,-698.7,14904.6,14205.8
16 Oct 2025,14400.3,12096.9,2303.3,-1479.1,20506.1,19027
17 Oct 2025,11448.9,11865.2,-416.4,-2083,16873.4,14790.4
20 Oct 2025,11675.8,10167.1,1508.7,44.8,7926.1,7970.9
21 Oct 2025,236.6,891.7,-655.2,49.5,2.3,51.8
23 Oct 2025,14782.2,10878.6,3903.7,-199.6,13028.3,12828.6
24 Oct 2025,8790.3,9335.4,-545.1,108.8,15566.3,15675.2
27 Oct 2025,11238.4,8712.6,2525.8,407.1,13212.8,13619.9
28 Oct 2025,19103.3,28128,-9024.7,-2381.5,18321.7,15940.2
29 Oct 2025,15625.7,10232.6,5393.1,-2168.7,16120.4,13951.8
30 Oct 2025,10356.4,9142.1,1214.4,-1448.1,11856.9,10408.8
31 Oct 2025,14140.6,8856.1,5284.6,-412.5,9751.1,9338.6
3 Nov 2025,11527.8,9385,2142.8,-795.9,14643.9,13848
4 Nov 2025,11224,11651.6,-427.6,-933.5,16108.4,15174.8
6 Nov 2025,14650.4,11527,3123.4,-6367.5,21634.8,15267.3
7 Nov 2025,15759.6,9764.9,5994.6,-3441.7,15337.1,11895.4
10 Nov 2025,14977.8,10127,4850.8,-5014.5,14770,9755.5
11 Nov 2025,10393.3,9739.5,653.9,-3349.4,22904.8,19555.4
12 Nov 2025,13855.5,10125,3730.5,-1144.3,23766,22621.8
13 Nov 2025,11719.7,10509.4,1210.3,-8282.9,25336.5,17053.5
14 Nov 2025,20701.5,13511.5,7190,-4933.2,17833.6,12900.4
17 Nov 2025,8697.1,8743.9,-46.8,-2552.8,19171.8,16619.1
18 Nov 2025,13111.5,9782.2,3329.3,-2745.8,17513.2,14767.4
19 Nov 2025,9202.9,9155.2,47.7,-4379.6,20827.3,16447.7
20 Nov 2025,8897.5,8704.3,193.2,-6363.1,22748.8,16385.6
21 Nov 2025,10136.2,9854.8,281.4,-5968.7,19517,13548.3
24 Nov 2025,15949.9,13213.9,2736.1,-964.3,13594.2,12630
25 Nov 2025,20860.6,22905.2,-2044.6,-7183.9,22699.2,15515.4
26 Nov 2025,12887.3,7678.5,5208.9,-4637.3,20879.7,16242.4
27 Nov 2025,10885.6,9108.6,1777,-1990,19299.2,17309.2
1 Dec 2025,7296.4,5444.6,1851.8,-2714.7,16128.6,13414
2 Dec 2025,11406.9,11975.5,-568.7,-3189.2,22878.2,19689
3 Dec 2025,12332.5,10768.7,1563.8,709.9,28347.3,29057.2
4 Dec 2025,12391.6,11253.3,1138.3,-3045.8,24662.6,21616.9
5 Dec 2025,12292.4,9671.5,2620.9,-635.7,15898.5,15262.8
8 Dec 2025,12954,11819.4,1134.7,-689.4,22761.8,22072.5
9 Dec 2025,14188.6,9507.3,4681.2,-3496.8,24155.5,20658.7
10 Dec 2025,13378.7,9914.8,3463.9,-246.9,19593.3,19346.4
11 Dec 2025,6658,4544.2,2113.8,1700.9,11121.7,12822.6
12 Dec 2025,11127,8708.4,2418.6,-3618.2,22971.6,19353.4
15 Dec 2025,7801.9,7578.9,223,-8203.7,22585.8,14382.1
16 Dec 2025,8459.4,9022.4,-563,433.7,20734.4,21168.1
17 Dec 2025,7583,8306,-723,3289.6,21923.5,25213.1
18 Dec 2025,9029.3,8233.6,795.7,-1226.9,27259.7,26032.8
19 Dec 2025,19293.9,13735.2,5558.7,-922.4,19491.6,18569.1
22 Dec 2025,11640.6,8985.3,2655.3,-1835,17152.3,15317.2
23 Dec 2025,9102.3,6414.1,2688.2,380.6,19382.1,19762.7
24 Dec 2025,8594.1,7870.2,723.9,-1603,16863.2,15260.3
26 Dec 2025,7440.8,5944,1496.8,-297.4,11470,11172.6
29 Dec 2025,8098.8,6535.7,1563.2,-3490.5,7252,3761.5
30 Dec 2025,44552.7,45608.8,-1056,-3888.5,12255.4,8366.9
31 Dec 2025,14766.8,9609.3,5157.6,-1992.2,10170.1,8177.8
