Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
1 Jan 2025,6669.3,5242.6,1426.7,-1258.8,6464.1,5205.4
2 Jan 2025,11204.2,11453.1,-249,-887.4,11497.2,10609.8
3 Jan 2025,11080.6,11682.6,-602,-231.6,10762.2,10530.6
6 Jan 2025,13087.9,8808.5,4279.4,-983.7,10629.4,9645.7
7 Jan 2025,8664.6,8741.7,-77.1,-3948.4,14830.6,10882.2
8 Jan 2025,10632,9016.9,1615.2,-836.7,11707.7,10871
9 Jan 2025,12474.8,7377.2,5097.6,-1459.4,11354.3,9894.9
10 Jan 2025,12545.5,8372.7,4172.8,-665.9,7024.1,6358.2
13 Jan 2025,16055,9288,6767.1,-1947.5,9169.9,7222.4
14 Jan 2025,10073.2,5419.6,4653.6,-1989,5586.2,3597.2
15 Jan 2025,10864.5,8374,2490.5,1056,7224.6,8280.6
16 Jan 2025,10892.7,9019.2,1873.5,1275.6,13010.7,14286.4
17 Jan 2025,9772.1,7319.2,2452.9,-3881,11786.4,7905.4
20 Jan 2025,12226.5,9083.7,3142.8,-2978.9,9648.5,6669.6
21 Jan 2025,10852.7,9174.5,1678.2,-2914.1,12746.1,9832
22 Jan 2025,11723,8910.6,2812.4,-3722,12443.1,8721
23 Jan 2025,11143.8,8551.3,2592.4,-3311.1,13285.7,9974.6
24 Jan 2025,9595.1,7962.1,1633,-4777.8,11425,6647.2
27 Jan 2025,12549.3,7861.7,4687.6,-3888.1,11053.4,7165.3
28 Jan 2025,16296.5,10895.1,5401.4,-4502.3,13427.3,8925
29 Jan 2025,10362.1,8682,1680.2,-1387.2,10343.9,8956.7
30 Jan 2025,21202.9,23442.3,-2239.4,-6293,17871,11578
31 Jan 2025,10932.7,8603.5,2329.2,-5677.2,14346.2,8669
1 Feb 2025,10759.4,9990.4,769,39.3,34.6,73.8
3 Feb 2025,14537.6,13029.9,1507.8,-3901.5,15273.8,11372.3
4 Feb 2025,10745.3,12875.5,-2130.2,-2693.4,13369.3,10675.8
5 Feb 2025,9803.1,9117.9,685.2,-4441.4,19026.3,14584.9
6 Feb 2025,8594,7348.3,1245.7,-4360.3,19387.3,15027
7 Feb 2025,9721.5,9979.1,-257.6,-6045.9,15122,9076
