Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
3 Jan 2022,3353.8,2918.3,435.4,1017.1,3039.4,4056.5
4 Jan 2022,3708.3,3330.9,377.4,66.9,3478.9,3545.8
5 Jan 2022,4839.6,3562.9,1276.6,1075.8,4367.4,5443.2
6 Jan 2022,4571.8,4292.8,279,-248.9,4825.7,4576.9
7 Jan 2022,4028.7,4215.1,-186.5,580.6,4452.4,5033
10 Jan 2022,4328.8,4300.1,28.7,277.1,3964.2,4241.3
11 Jan 2022,4452.9,4162.3,290.6,746.9,3201.7,3948.6
12 Jan 2022,5613.2,4642.9,970.3,265.6,2363.5,2629.1
13 Jan 2022,5233,4842.2,390.8,266.4,4153.8,4420.2
14 Jan 2022,4054,3709.4,344.6,-21.9,3173.9,3152.1
17 Jan 2022,4371.7,4169,202.7,683.5,3187.3,3870.8
18 Jan 2022,4415.5,5082.2,-666.7,448.4,3836.8,4285.2
19 Jan 2022,5530.5,4076.2,1454.3,-1053.4,5190.4,4137
20 Jan 2022,4818.2,4171.3,646.9,-2278.4,7954.2,5675.8
21 Jan 2022,5611.9,5847.6,-235.7,1103.9,5629.8,6733.7
24 Jan 2022,7650.1,6524.7,1125.4,311.2,4089.2,4400.4
25 Jan 2022,8780,4502.2,4277.8,100.7,5979.5,6080.2
27 Jan 2022,11630.2,12380.9,-750.6,-2112.3,8520.5,6408.2
28 Jan 2022,7698.5,4789.8,2908.7,381.4,6211,6592.4
31 Jan 2022,7518.3,4200.4,3317.8,-303.6,8779,8475.3
1 Feb 2022,5548.1,5224.7,323.3,-1364.3,3654.5,2290.2
2 Feb 2022,5714.5,5680.9,33.6,-1553.3,3905.1,2351.8
3 Feb 2022,4684,5196.9,-512.9,330.2,4501.8,4832
4 Feb 2022,5134.8,4838.1,296.7,-1208.7,5613.5,4404.7
7 Feb 2022,4043,5334.4,-1291.4,-26.2,26.6,0.4
8 Feb 2022,5162,4266,896,464,3641.2,4105.1
9 Feb 2022,5342.4,4143.7,1198.7,1051.5,4825.8,5877.3
10 Feb 2022,5975.8,3817.8,2158,1202.9,5153.1,6356
11 Feb 2022,4039.6,4945.8,-906.2,1320.9,5483.9,6804.8
14 Feb 2022,5919.4,3812.2,2107.2,567,5258.6,5825.6
15 Feb 2022,7180.4,3309.7,3870.7,-616.1,5923.8,5307.7
16 Feb 2022,4047.1,2992.8,1054.3,82.5,7318.6,7401.1
17 Feb 2022,3366.4,2732.2,634.3,2003,6144.3,8147.2
18 Feb 2022,4215.1,2458.1,1757,276.6,4139,4415.6
21 Feb 2022,4463.3,2603.8,1859.5,107.6,6348.3,6456
22 Feb 2022,6103.1,2932.7,3170.4,159.8,5521.1,5680.9
23 Feb 2022,4763.8,2575.4,2188.3,304.8,5329.9,5634.6
24 Feb 2022,12755,10392.8,2362.2,788.7,4870.4,5659.1
25 Feb 2022,7192.1,3661.9,3530.2,2543,9708.6,12251.6
28 Feb 2022,7392.6,3686.3,3706.4,-1017.9,5094.5,4076.5
2 Mar 2022,7384.4,5424.8,1959.6,-4369.4,11091.6,6722.2
3 Mar 2022,8878.2,5246.4,3631.8,-16.1,6930,6913.9
4 Mar 2022,9082.9,4871.6,4211.3,-479.6,6070,5590.4
7 Mar 2022,10452.6,5653.6,4799,-1160.6,6015.8,4855.1
8 Mar 2022,10399.8,5164.6,5235.2,382.9,7530.7,7913.6
9 Mar 2022,8053.9,6523.5,1530.4,-2179.2,10563.9,8384.7
10 Mar 2022,6508.7,6293.5,215.2,-858.3,9262.4,8404.2
11 Mar 2022,4866.2,4058,808.2,1107.9,9009.6,10117.5
14 Mar 2022,4566.2,4283.2,283.1,259.9,4237.7,4497.6
15 Mar 2022,6077.6,6572.1,-494.4,342.3,8502.5,8844.7
16 Mar 2022,3031.3,2531.8,499.4,-412.6,6572.7,6160.1
17 Mar 2022,5510.7,6430.7,-920,997.2,5620,6617.2
21 Mar 2022,3575.5,3154.6,420.8,1292.4,9081.3,10373.7
22 Mar 2022,3243,3299.8,-56.9,-1698,9341,7643
23 Mar 2022,3230.9,3934.2,-703.4,-1643.3,10457.2,8813.9
24 Mar 2022,5375.1,3999.2,1375.9,1120.8,8525.9,9646.7
25 Mar 2022,4155.6,4160.8,-5.2,735.6,8358.4,9094
28 Mar 2022,3489,2795.4,693.6,691.4,9146.2,9837.6
29 Mar 2022,3752.2,2948.3,803.9,-82,10042.6,9960.6
30 Mar 2022,10925.9,9762.2,1163.7,-1737.4,10542.3,8804.9
31 Mar 2022,648.8,3600.8,-2952.1,609.1,285.9,895
1 Apr 2022,3939,3955.2,-16.2,2,1.8,3.8
4 Apr 2022,7785.3,6160.3,1625.1,2730,2739.4,5469.4
5 Apr 2022,4532.1,4777.6,-245.5,584.8,5411.1,5995.9
6 Apr 2022,5181.7,4496.3,685.4,2087.2,4267,6354.2
7 Apr 2022,5490.9,4627.8,863.1,-592.1,6158,5565.9
8 Apr 2022,5987.8,4725.3,1262.5,-1718.7,7470.2,5751.5
11 Apr 2022,4349.9,4352.2,-2.2,-498.4,4705.2,4206.8
12 Apr 2022,4678.2,4130.7,547.4,-751.1,5289.8,4538.7
13 Apr 2022,6105.3,4378.1,1727.2,441.5,6146.5,6588
18 Apr 2022,7621,4723.6,2897.4,-102,2789.8,2687.8
19 Apr 2022,8606.2,5633,2973.3,449.4,3317.3,3766.6
20 Apr 2022,6065.2,4165.2,1900,932.8,3851.4,4784.3
21 Apr 2022,6813.8,4383.4,2430.4,2746.3,4173.1,6919.4
22 Apr 2022,4443.8,3370.5,1073.2,44.4,5086.3,5130.7
25 Apr 2022,4461.4,3352.8,1108.6,1499.9,4379.2,5879
26 Apr 2022,5261.1,3826.6,1434.5,161.1,5318.8,5479.8
27 Apr 2022,5626.2,3925.9,1700.2,-105.7,4318,4212.4
28 Apr 2022,6251.5,8570.3,-2318.7,-1295.3,7540.8,6245.5
29 Apr 2022,6018.7,3293.2,2725.5,209.1,6487.8,6696.8
2 May 2022,5173.3,3611.8,1561.5,-329,4388,4059
4 May 2022,4200.2,3893.1,307.1,-1459.9,5512.8,4052.9
5 May 2022,5228.4,3686.6,1541.8,-2579.8,7987,5407.2
6 May 2022,5893,4133.4,1759.6,-528.5,4568.5,4040
9 May 2022,5655.1,3653.2,2001.9,-3027.3,7934.9,4907.6
10 May 2022,5216.4,3324,1892.3,-557.1,5720.7,5163.6
11 May 2022,6180.5,3353.4,2827.1,-1404.1,5748.6,4344.5
12 May 2022,6733.1,3631.8,3101.3,-659.2,6416.6,5757.4
13 May 2022,5976,3673,2303.1,141,5149.4,5290.5
16 May 2022,3930.7,2764.6,1166.1,2.1,0.5,2.6
17 May 2022,5312.6,3925.1,1387.6,8.5,6031.7,6040.2
18 May 2022,3778,4200.2,-422.2,697.7,5069.7,5767.4
19 May 2022,4945.3,3273.8,1671.6,105.7,8372.5,8478.2
20 May 2022,4406.8,2499.4,1907.3,-1387.6,4855.2,3467.7
23 May 2022,4559.4,3797.7,761.6,300.3,4630.9,4931.2
24 May 2022,4463.3,3297.8,1165.4,-1354.7,8165.8,6811.1
25 May 2022,4327.9,3859.7,468.2,-1166.7,10202.9,9036.3
