Date,MF_Equity_Gross_Purchase,MF_Equity_Gross_Sales,MF_Equity_Net_Purchase_Sales,MF_Debt_Net_Purchase_Sales,MF_Debt_Gross_Sales,MF_Debt_Gross_Purchase
1 Jan 2024,5632.9,4744.2,888.7,-102.6,6604.7,6502.1
2 Jan 2024,6854.8,8179.2,-1324.4,1861.8,7719.7,9581.5
3 Jan 2024,8150.4,8552.8,-402.4,1600.2,7370.4,8970.6
4 Jan 2024,9017.4,10370.6,-1353.1,125.3,8709.1,8834.4
5 Jan 2024,7623,10508.4,-2885.4,-861.2,8859.1,7997.8
8 Jan 2024,8103.6,7301,802.6,825.8,8291,9116.9
9 Jan 2024,7022.6,7124,-101.5,986,8049.5,9035.5
10 Jan 2024,7988.3,5757,2231.3,796.8,8336.9,9133.6
11 Jan 2024,9987.8,8636.5,1351.3,2103.2,10666.9,12770.1
12 Jan 2024,8698.3,6806.6,1891.7,-900,6720.9,5820.9
15 Jan 2024,8620.3,9220.4,-600.1,-3335,12505,9170.1
16 Jan 2024,7198,7765.7,-567.6,-2888.2,10770.6,7882.4
17 Jan 2024,12646.8,8594.6,4052.2,-2791.4,11637.7,8846.3
18 Jan 2024,13733.3,7786.2,5947.2,-155.7,9655.5,9499.8
19 Jan 2024,11508.6,8268.4,3240.2,-5144,14075.8,8931.8
20 Jan 2024,3041.2,3770.8,-729.6,-10,15,5.1
23 Jan 2024,12447,12368.3,78.7,-2075.3,9250.5,7175.2
24 Jan 2024,12888.4,7211,5677.4,-3332.2,12232.2,8900
25 Jan 2024,17264.2,19427.4,-2163.3,-1818.1,10960.8,9142.7
29 Jan 2024,12580.9,9151,3429.9,-2145.5,11398,9252.5
30 Jan 2024,10234,9543,691,-2017,10463.8,8446.8
31 Jan 2024,13438.4,10582.6,2855.8,-2365,10958.4,8593.4
1 Feb 2024,10094.8,10103.8,-9,-774.8,10001.9,9227.1
2 Feb 2024,10887.8,9465.8,1422,-3463.2,13180.3,9717.1
5 Feb 2024,9854,11288.4,-1434.4,-1597.8,12063.9,10466
6 Feb 2024,10623.3,9985.7,637.6,-1762.4,11150.9,9388.5
7 Feb 2024,9041.6,9516.5,-474.9,-7207.1,18469.3,11262.2
8 Feb 2024,14179.8,9614.1,4565.8,-2125.8,11243.1,9117.3
9 Feb 2024,9542.6,10206.4,-663.8,-3926.8,9839.3,5912.4
12 Feb 2024,9295.9,7829.9,1466,-3661,9651.7,5990.7
13 Feb 2024,7600.4,7025.1,575.3,-2215.3,8703.1,6487.8
14 Feb 2024,10262.9,7356.4,2906.5,-571.3,9422,8850.7
15 Feb 2024,9608.8,8045.8,1563,-3464.8,13789.2,10324.3
16 Feb 2024,9291.3,8341.3,950,1449,9712.3,11161.3
19 Feb 2024,7197,6446,751,-37.9,60.7,22.8
20 Feb 2024,8759,7267.6,1491.4,411.1,8521,8932.2
21 Feb 2024,7664.6,8729.6,-1065.1,-1455.9,13450.9,11995
22 Feb 2024,8616.4,6895.4,1721,-2018,12896,10878
23 Feb 2024,6921.7,6720.3,201.4,-2374.8,11391.2,9016.4
26 Feb 2024,7027.8,6879.6,148.2,-3464,11564.7,8100.7
27 Feb 2024,8880.5,7193.8,1686.7,-1347.2,13114.4,11767.1
28 Feb 2024,8130.7,6648.1,1482.6,-4025.2,13302.6,9277.4
29 Feb 2024,16157.7,19783.6,-3625.9,-2665,12984.1,10319
1 Mar 2024,11253.7,6912.4,4341.3,-904.6,7416.7,6512
2 Mar 2024,180.7,184.4,-3.7,0.4,4.8,5.2
4 Mar 2024,10064.9,6848.2,3216.7,249.6,9443.3,9692.9
5 Mar 2024,10350.4,8852.3,1498.1,-5648,21035.6,15387.6
6 Mar 2024,10857.5,9141,1716.5,341.2,21968.8,22309.9
7 Mar 2024,10102.6,7510.1,2592.5,-866.2,13405.4,12539.2
11 Mar 2024,8208.4,6234.5,1973.9,-5353.5,13827.2,8473.7
12 Mar 2024,7749.6,5535.9,2213.6,-1681,14249.5,12568.6
13 Mar 2024,16291.3,8601.6,7689.8,-2744,17172.4,14428.4
14 Mar 2024,8025.7,7851,174.7,-2161.6,22435.7,20274.1
15 Mar 2024,11960.2,13424,-1463.8,-3207.5,12042.3,8834.8
18 Mar 2024,7231,5801.3,1429.7,-2593.5,10693.3,8099.9
19 Mar 2024,13187.4,7256.1,5931.3,263.8,21197.5,21461.4
20 Mar 2024,8536.6,6357.3,2179.3,-2377.2,14055.2,11678.1
21 Mar 2024,9418.9,7260.3,2158.5,-4060.1,19025.6,14965.5
22 Mar 2024,10249.4,6515,3734.5,-2437.7,8848.6,6410.9
26 Mar 2024,10812.7,6923.4,3889.4,-4107.4,9979.4,5872
27 Mar 2024,22130.9,20104.2,2026.7,-9361.7,15353.2,5991.5
28 Mar 2024,15910.5,16976,-1065.5,-5228.7,9390,4161.3
1 Apr 2024,7703.7,7204.7,499,-4.3,39.6,35.2
2 Apr 2024,9537.1,8136.7,1400.4,-31.6,2849.2,2817.6
3 Apr 2024,9626.6,9549,77.6,3774.6,4759.9,8534.5
4 Apr 2024,8980.9,10326.4,-1345.5,1377.3,10372,11749.3
5 Apr 2024,7196.8,10733.2,-3536.4,3442.3,5620.1,9062.3
8 Apr 2024,9777.8,7282.5,2495.3,5171.8,3950.2,9122.1
9 Apr 2024,9389.9,7028.6,2361.2,24.5,30.9,55.4
10 Apr 2024,9284.9,8819.1,465.8,6590.3,4007.7,10598
12 Apr 2024,13689.6,8387.5,5302.1,4522.3,4572.8,9095.1
15 Apr 2024,10732,6652.6,4079.4,2901.1,4465.9,7367
